title,//,sentence,//,Toefl,::
Many people visit museums when they travel to new places. Why do you think people visit museums? ,//,"When you travel to new place, where is the first place that you want to visit? Answer to this question depend on the characteristics of site. If you are in the area that is famous for beautiful beach, your first trip is possibly the beach. Then, what could be your first stop, if there is no such famous place that attracts you? In my case, generally I take museum as the first stop for my visit because I can understand that area easily, fast and effectively. In addition, museum gives me unforgettable memories. 

First, the most fast and easy way to understand a certain area is to visit museum. We can learn brief history of that area by seeing historical stuff displayed at the museum. What's more, we can find out how that area's economic and cultural status is. In most case, if a certain local government is not in good cultural or economic state, the government tend not to invest on such faculties such as museum. It is because, to them, there are many things they have to invest first. On the contrary, if the local government and that area is flourishing, it is clear that they cherish their historical stuff. 

In addition, we can make some memories about certain place by visiting museum. We can see valuable historical remains that can not be seen at the other area. Furthermore, considering that museum plays an important role of being landmark of the area, we can experience fantastic building and landscape. For example, when I visit "" the Louvre"", what makes me exciting is not only its stuff, but also its building including glass pyramid. If I toured the city without visiting that museum, half of my memories could be lost in my mind. 

In sum, although visiting museum might seem to be somewhat boring, it is quite a useful way of understanding certain area. Museum is abstract of the area's history, culture and life. Without visiting local museum, how can you say that you visit and learn lots of things on that area? 

",//,essay,::
English as an official language. ,//,"Korea achieved brilliant success last 30 years. This miracle was come from perspiration of all people in Korea, especially the laborer who worked at the factory paying low-wage and poor environment. As economy grows rapidly, people concern about whether Korea can become more affluent or not. In Korea’s circumstance where natural resources are limited, talented people need to be trained. With part of that worries, some people urge to use English as an official language. It is inevitable to Korea to survive from globalization which accelerates competitiveness among the nations. How ever, in my opinion, finding our national characteristics is more important than following advanced nations recklessly. 

One of the biggest concerns is that we could lose our emotion of nation. We have more than 2,000 years of history and always proud of our nation. In 2002 World Cup, for instance, Korea showed intensive nationalism throughout the world. We all dressed red shirts and proud of what we made. Another example of our self-esteem is ‘Han-Gul’ which is Korea’s official language. Han-Gul is the perfect language that expresses every human feelings in words and also write every language that people use all over the world. It is a creditable invention that the world language experts acclaimed it. 

In addition, imagine of how impractical of using English in Korea society. How do you going to write Korean’s peculiar thinking? As an example of Korean novel, there are good novels in Korea which could not award novel prize at literature, because Han-Gul could not interpret properly. 

In conclusion, Using English as an official language does not mean fostering national competitiveness. Korea government should devise other alternatives that increase national benefits such as improving educational surroundings or lessening restrict policy to companies so that they can help domestic consumption. Also, People should conserve their cultures and prepare for the globalization. If not, we could be a cultural colony of other advanced nations. ",//,essay,::
Some people prefer to eat at food stands or restaurants.  Other people prefer to prepare and eat food at home. Which do you prefer? Use specific reasons and examples to support your answer. ,//,"As many people are becoming busy with their jobs,hobbies, they tend to go out and eat food from restaurants or fast-food store. They like those place because thay can save time and don't have to worry making food. Despite opposition from many, I prefer to eat food at home. 

First of all, I am able to save a lot of money. Because I'm student, I am not able to afford food price at restaurants 30 days a month and 12 months a year. It was  always my parents who gave a pocket money to me. I realized that the older we are , the more difficult we get a money from parents. Even if I have money to go chow hall, I have tried to keep the money in bank for my future. When we eat food at home, It’s possible to store food that we left. It’s a common sense that most of restaurants have dumped the food away right after customers set off from restaurants. It not only made environmental problems, but also raised the food price. I saw one article in newspaper that government and private companies spent two billion won to recover the environment. I also want to mention about tip culture. It’s recommended to leave 10~15% of your whole food price on the desk, when you leave the restaurant. If the waiter impressively served to you, you would like to leave more money than regular tips. 

  Secondly, eating at home is more safe than restaurant, or food stall. Generally speaking, most restaurants more interest money than any other things. One broadcaster reported the news that most of the fast-food store’s sanitations are terrible. Part time job members usually didn’t  wash their hands when they start working and didn’t use a plastic glove.  A  worker said that a host just always has pushed him to work quickly and didn’t say anything about safty of making food. As you can see, your mother always tries to make healthy food for family members. Whenever she was about to buy some ingredients, she looked carefully about the expiration and the condition of food not the price of that. As a result, Family members are able to feel mother’s love. 

Thirdly, family members can share the feeling of membership. We are so busy with our own businesses that we are no longer interested with  the lives of our near and dear ones.  So I think  that the best way to solve this problem is to make a custom about eating at home at least one time a day. I am sure that they will feel the safety and comfort  each other. 

As we have seen above, there are many benefits eating food at home. It’s not only good to your health, but also good to relationship of family members. ",//,essay,::
It is sometimes said that borrowing money from a friend can harm or damage friendship. Do you agree? Why or why not? Use specific examples to explain your answer.,//,"There is an argument regarding the issue that lending or borrowing money from a friend can damage the friendship. Some people maintain that this behavior don’t affect friendship. However, in my opinion, borrowing money from my friends can affect negatively our friendship because this can damage my friend’s financial statement and might break confidence between friends. 
    First of all, if a person borrow some money from his or her fiend, it can give trouble to the friend because of the financial problem. For example, I am a university student and I earned money by doing part-time job to afford my tuition. In this case, I always have trouble in my financial statement. Two months ago, one of my friends answered me to lend one hundred dollars and I lent the money despite my condition for my friend and consequently I got in financial trouble. Hence, through the experience, I learned that borrowing money from a friend can damage the friendship. 
    Moreover, borrowing money can attack the confidence between friends. If a friend who borrowed some money don’t pay back the money, people might think that the friend doesn’t consider them. According to the research done by the Seoul National University in Korea, people feel sorry when their friends don’t do thoughtfully. To make the matter worse, once the truth is broken between friends, the relation can’t maintain as before. After all, friends break up the relationship each other. Therefore, I think that borrowing money can harm the relationship between friends.   
     In conclusion, I agree the statement that borrowing money from a friend can affect negatively friendship. This is because of the reasons mentioned above that borrowing can affect directly the financial statement of a friend and might reduce the belief between friends. We should make an effort not to borrow money from friends to keep the friendship.   ",//,essay,::
Some people believe that students should be given one long vacation each year. Others believe that students should have several short vacations throughout the year. Which viewpoint do you agree with? ,//,"A vacation is time to rechage life of students. During a vacation, Students can do something that cann't do in a semester, shch as supplementing a subjet and preparing the next semester and having a rest time. Students need one long vacatoin to perform these things. But several short vacations are too short to do them. It is important for students  to have a vacation as rechaging time. so, I think that students should be given one long vacation each year. 

      There are no one that undstand perpactly all the subjects in semester. So, students that have a vacation supplement their depiciency of a subject in a semester. It also means that students prepare next semester. To perform these things, students are reqired many times. If student are given Several short vacations, just they have to supplement a subject and prepare next semester. Students don't  need only astudying time but also  a enjoying time. 

      Students have a right to enjoy their life because they are not studying machine. Students have their times that they can utilize after ending a semester. In this time, they can do many things. For example, some students travel with a friend and some students learn to play the piano that cann't do in a semester. students that cann't live with family in semester have a happy time with thier family during a vacation. Students are helped mentall and physic growth throgh these process. If students are given a short vacations, these things are impossible because of too short time. That's reason why student should be given one long vacation. 

     If it is considered only by quantity, both several short vacatoins and one long vacation are same. However,  Several differences Beteen several short vacatoins and one long vacation clearly exist. A vacation is essencial time to rechage life of students. Therefore, I think that students should be given one long vacation each year. ",//,essay,::
"Holidays honor people or events. If you could create a new holiday, what person or event would it honor and how would you want people to celebrate it? Use specific reasons and details to support your answer. 

",//," Have you ever heard about Taekwondo? I think you have probably heard it before because it is one of the most famous fighting arts and it is selected an offical game of the olympics. In my country, korea, there isn’t a holiday for Taekwondo even though it is very important for us. If I can make a holiday, I really want to choose Taekwondo. And I want to celebrate it with advertising and making a world tournament 

     Taekwondo is a fighting game from Korea. It looks similar to Kungfu from China and Karade from Japan. However, it has own arts. Especially it use legs very efficiently and fantastically. So many people fall in love with wonderful skills and it has become one of the famous games all over the world. In the world, there are a lot of branchs of Taekwondo. One of my European friends, from Latvia, he used to be a Taekwondo player. He had trained it for 7 years so his body was great. In korean opinion, how proud it is. I have never thought many of the world people love it. Even it is now a famous game in Olympics. There are many fighting games but just Taekwondo and Boxing are selected as official games in Olympics. In these point, we korean feel proud about it. It is important for us, neverthless, in korea there isn’t a holiday for it. So I need to make a holiday for it. 

   If  I made a holiday for it, I should make events for it. How to? I think it has become a famous game all over the world. So I would make a world tournament. Of course there is other worlds tournaments like olympics but I want different kind of competition. First, I need to advertise it. In my country sometimes something weird events have happened. They were very important but the administrator of the events didn’t prepare for the events and didn’t advertise very well. Eventually the events caused anger from people. I have seen many times like it. So I would try to advertise efficiently for it such as TV commercials. 

    If  I can make a holiday for something, as I said I would make Taekwondo day for my country and korean. Because we korean feel proud from it. However we don’t have a holiday for it. So I think It is actually needed thesedays for Korea. To celebrate, I would make a world tournament. How great it is, it is for korean but also it can be a celebration all over the world’s people. 

",//,essay,::
What are some of the qualities of a good parent? Use specific details and examples to explain. ,//," These days there are a lot of education systems. They teach how to teach their children and to educate them to make smart. However, it is pretty hard to find about some materials which explain about being a good parent. So I wanted to say what some of the quialities of a good parent are. I think good parents have to show their passion about what they are doing, generosity and they have not to make an unhappy family. Let me tell you specifically about them. 

     One of the features of the good parent is that they show that they are doing their best whatever they do. It is really important. From a baby to adult, children see his parents during his life. As growing, children are realizing what they should do from their environment. One of the most important things which effect them is of course his father and mother. If his father shows that his best and passion about something. It will effect his sons and daughters as good advantages. 

    Another point I think is that usually good parents are very generous. If father shows mercy for the poor, children will learn how to mercy someone. If he shows just his passion about something, his sons and daughters will learn just a passion from his father and mother not generosity. It means it is possible children will be selfish. 

    The last point I think is that the good parents don’t make unhappy for their family. Economical capablity is also important and their personality is also important. However, I think the most important thing is that good parent make their family very happy. Some good parents never fight in front of children. It is sure that they are trying to make a happy family. Usually a guy who does criminal is from an unhappy family. When parents fight each other, statistics shows children suffer a lot of stress. It makes them to go out of the houses. 

     To be a good parent, they should make happy family. To be a good parent, they have to show their passion to their children. Itself will be a good education. To be a good parent, they should teach what generosity is to prevent their children from being selfish. What are more important? I think that these are the most important things to be a good parent. I don’t mean there aren’t other important things. But I believe when a good parent shows these for their children,  their children will grow happily and learn how to live will in a society. 

",//,essay,::
Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your anwer. ,//,"  This topic has been pretty contraversial. Many students have insisted on studying alone is better but others have affirmed conversly. Which opinion is right or better for us? Maybe it depends on student’s style. However, for most students, I recommend them to study with a group. Thesedays I have studying alone. I, however, feel that I can study more efficiently. How? I think if I study with a group, I could tell what my problem is so I could think logically. I could enjoy studying. And I could study efficiently? How and why? Let me tell you my opinion. 

      As you might know, now I am studying TOEFL and preparing for some tests. These test are not easy and I sometimes feel embarassed because of hard questions which require highly logical thinking. For example, at reading parts on TOEFL, I usually have some problems on inferrence questions. Sometimes I can’t solve and understand even if I see the answers. What do you think of my problem? I think this problem is caused by a lack of logical thinking. I have thought if I have a group studying with me, we could make discussing and tell what our problems are. I believe we can make better logical ability by great discussing. 

     Who does love study and want to study? Actually there aren’t students like that. Sometimes we could feel that a part of study is very interesting. However, It usually can’t last for a long time. I think when we study alone, we could feel very bored. Sometimes we need to discuss and ask someone about hard questions. When we meet hard questions which we can’t solve by ourselves, we feel bored and frustrated. At this time we lost our interests for studying. Sometimes we need a rival and want to enjoy a competition. Like that, we can match with my friends in the group. It would be good reason to study for bored students. 

     There is another reason I prefer to study with a group. This makes studies very efficiently. How did we do? We made penaltys. What kinds of penaltys? Let me tell you. When I studied with my friends, we made a penalty like paying money when we couldn’t memorize vocaburaries for homework. It was not big money. However, for us, it was big deal even if the money was not expensive. So we  could study them very hard and eventually memorize a whole vocaburary book. How useful it is! In this point, if there is spontaneous penalty, it would make our study more efficiently. 

     If we can make better logical thinking, if we can prevent to study from boring, and if we can make study very efficiently by a penalty, then we could study very interestingly and hard. History and statistics have shown appropriately strict rules and competitions make our ability for something better. As I told you, these reasons I think are significantly good ways to study if we can. ",//,essay,::
Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your anwer. ,//," To study effectively, some students prefer to study alone, and others prefer to study with a group of students, If I have a chance to choose between studying alone and studying with friends, I would choose a group study, because later has more advantages than studying alone. 

        To begin with, a group study can help students improve effectiveness in the study.  For example, when you study alone, it would be very hard to collect many kinds of research materials in short time by him or her. However, if you study with a group of students, the group member can split and share their school-assignments and research materials.  Thus, each member of the group can save his or her time to finish homework, and can get much information in short time. Moreover, many students can get their research from different sources such as newspapers, Internet, and books, so they can get also a wide variety of information in no time. 

        In addition, students who joined a group study can improve his or her social skills such as interpersonal relationship, intercommunication, and friendship. For instance, students who study with friends can learn responsibility by taking a position in the study group, so the student can develop a sense of responsibility. Moreover, they can learn how to organize the study team, the way to study, and study time. If a student only prefers to study alone, he or she can’t get a chance to learn social skills and improve intercommunication abilities. 

        For these reasons, I prefer to study with a group of students. Group study can give students many opportunities as I mentioned above. Students who do group study can learn social skills and can work efficiently. Of course, studying alone would be a good choice for some students who are very shy or don’t want to be interrupted by other students. However, in my case, a group study is best choice for me. ",//,essay,::
Do you agree or disagree with the following statement? parents are the best teachers. Use specific reasons and examples to support your answer.   ,//,"People has regarding the issue that parents are the best teachers. some people think that parents doesn't offer children good education. while, others have opposite opinion. I believe that children are learned by their parents who are best teacher for children because parents not only know their children but also  lead them very well. 
     
    First of all, parents allow their children to find their talent or interest .In general, children have spent a lot of time with their parent from the day of birth. as parents live with their children together for a long time, they can look for everything about their children as well as this can take full advantage of  children's ability. for example. I'll take personal experience. during my high school years, when I was wondering  about my future, my parent were good assistant since they give me information that I don't know yet such as my interest, appeals, talent and so on. as a result, I could easier make a plan than others of the same age. this shows that parents helps their children to recognize themselves. 

   Second, because of unconditional love, children can follow their parents willingly. generally speaking, children not only spend most time with their parents but also they are related by blood with each other. thus both parents and children become having belief. It is certain that children depend on their parents. for good education, between teachers and students should be based on these relationship. in other words these relationship offer them lots of care and love. parents can lead easily their children. 

   In sum, I know that the best teachers are parents because parents know their children. in addition, they can easier guide than others. it is necessary to be a good teacher. for better education, teachers should know that students need continuous concern and love. 

",//,essay,::
Some people believe that students should be given one long vacation each year. Others believe that students should have several short vacations throughout the year. Which viewpoint do you agree with? ,//," What would you do during vacation if you were to come back to school days? People have different ideas depending on their situations. I believe that one long vacation, not several short vacations, should be given to students because one long vacation can give time to build up work experience, time to travel and time to study their subjects. 

    First, students can have an opportunity to work as an intern during long vacations. By doing so, they can apply what they learn at school to a real working situation. If you are majoring in advertising, then you can work at advertising firm, such as LG Ad (well-known advertising company in Korea), as a creative designer, and really involve in making advertisements. I also had worked as an intern at a consulting firm during my vacation in my junior year and it was really a great time. 

    Secondly, one long vacation is good for students to travel around to the places they want to know more. As you may know, when you work with a company, you cannot have your time for a travel. In Korea, workers can take a trip for 7 days to at most 10 days in a consecutive. On the contrary, students can make the best use of their vacation to visit cities abroad. If you are interested in making movies, I strongly recommend you look around MGM studio and Universial studio where you can find how the movies are made.  During my freshman, I had a good chance to go to America. At that time, I visited the Ivy League School, for example Harvard University, Yale University and Princetone University and so on. I could see the beautiful campuses and also could talk with students there about their school life. 

    Finally, students can review what they learnt during their previous semester and make up for what they missed. In addition, students can work in advance what they want to study and prepare for the next semester. One friend of mine took a summer course to make up for what she failed at a freshman year, and eventually she could raise up her graduate point average to the level she wanted. 

     In short, I agree with the statement that one long vacation would be good for students because students can have working experience, visit countries they want and study what they learnt and prepare for the next semester during that time. ",//,essay,::
"In some countries teenagers have jobs while they are still students. Do you think this is a good idea? Support your opinion  using specific reasons and details. 

",//,"Many people say that having jobswhile they are still students are not good for disturbing the study. However, l think that having a job while they are still teenager is a good ideat that have many advantage. There are several reasons to support my opinion. 

Firstly, as having a jobs during teenegers, they can catch the thing what is really they adapted. Almost people who are just learn their study in school tend to can't find eaily what kind of job is the most adatped to them after graduate school. However, people have an experience like having a job in teenager, he or she can know about their temperament. For example, whether they like to follow the commend of boss or not. In addition, they may catch what kind of work they like. For instance, when a boy work in fast-food during teenager, he know about whether he likes and is good at selling articles.
   
Sedondly, having a job teenegers in still students is a good idea because they can have an experience before they got a fail in real society after graduate a school. When a teenager who want to get a whose food-market, he or she get a job relative with food-market when they are teenager. As having that kind of a job when he or she duing still student, he or she can learn many knowledge such as the most important things or threaten things before the person manage own the food-market. 
     
Thirdly, having a job teenagers in still stuednt is a good idea because they can apply the knowledge that was learnd in the class to real situation. For instance, a curious teenager is taughted about the supply and demend in an economy class. While he or she have a job that can get a item from a firm and sell to people, he or she can know certainly what is the real supply and demend. 

In sum, having a job when they are teenagers is good idea because they can have not only an opportunity to find what is their fiber, but also an experience apply their knowledge that are taughted in class to real circumstance. In addition, they can have an pre-exercise that can reduce the possibility to fail rather than they are graduate their school.",//,essay,::
"Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer. 
   ",//,"There are many ways that we can study. It is very important how to study. some people say that students should study alone with high concentration. However, from my point of view, studying in a group of students is better in terms of saving time and sharing imformation.  

   To begin with, not all students solve problems. That is to say, every student has a advantage and a disadvantage in study skill. Hence, studying in a group enable students to save of time by effective ways. For my experience, I study TOFLE in a group which is 8 members together. Due to I have a more ability in listening comprehention than others, I can teach other members. In contrast I can learn part of others. We able to save many times because We only catch our unknown problems. We need not to consider unsolved problems. in this regard, group studying help us saving of time. 

    Moreover, group studying allow students to feel interesting. in other words alone studying is very boring and have a loosing mind. For instance, our study group have a pop quiz every mornig. pop quiz enable us to study hard. also it give us some of belonging. hence we can more good results. also as we debate a difficult problems with our diverse opinion. In this regard, study group is necessary with effective studying. 

In short, I firmly believe that students should study organization making in a study group. this is because studying all together is effective ways in terms of saving time and interesting studying.",//,essay,::
"Many people have a close relationship with their pets. These people treat their birds, cats, or other animals as members of their family. In your opinion, are such relationships good? Why or why not? Use specific reasons and examples to support your answer. ",//," Since ancient times, many people had close relationships with their pets such as birds, cats, and dogs. Thus, I agree that to have close relationships with their pets are good for both people and animals, because such relationships contain some advantages. 

        To begin with, close relationships with their pets can help some people having serious mental disease to alleviate it, because when they spend their time with their pets, they can feel more comfort than before. For these effects, most psychologists suggest their patients to raise pets, because raising pets can slow disease rate, alleviate bad mood-condition, and even cure disease. For example, I have a grandmother who had a serious breast cancer. Two years ago, she had a big surgical operation, and finally, she can remove cancer from her breast. However, after a medical operation, she got a serious pain. She wanted to relieve pain, so she used many kinds of medicine, but there were no way to alleviate her pain by medicine. However finally she overcame a pain, because she decided to raise dogs. After having a close relationship with her dogs, she can forget her pain and concentrate her interest of her pets. 
Nowadays, my grandmother sometimes feels pain, but now she feels better than before. 

        In addition, close relationship with their pets can prevent loneliness. For example nowadays many people live alone, and most people want to seek a way to forget loneliness. For these reasons, some people spend their time to meet other people, or more concentrate their jobs. However, the most popular way to overcome loneliness is buying a pet such as a dog and cat. ",//,essay,::
Teachers should not make their social or political views known to students in the classroom.,//,"At the same time as the advancement of the society, the argument as to the scope of a right for teachers to express their political viewpoints in classroom has taken place. Regarding this, some people are advocating that teacher is able to show their opinion on political issues during classes. However, I am of the strong belief that the opposite is right due to its power to distort the class and the student's susceptibilty  to the teacher.
 
The first reason which is exceptionally evident is that political view in class could distort the contents of the academic subjects such as ethics, history, and so on. To be specific, if the teacher gives a lecture about some social issues or literatures adding his or her own political meaning, the students are likely to accept academics in a biased position. From my persnoal experience, my history teacher in high school usually taught us a few important historic events from the progressive viewpoints. Because of this, we used to think that our society should be drastically changed in most fields without rational reasons. In this regard, teaching with political stances would have a negative impact on the growth of the youth's mind.
 
Another equally important reason is that the student is very susceptible to teacher's thoughts. To elaborate, the students who are not mature enough to judge social or political phenomenon tend to follow teacher's opinion blindly, which can be an obstacle to the development of democracy in our state. According to a study conducted on the politics of adult by the Korea University, it has been reported that nearly 55% of the adults who are now a member of political parties responded that their politics have been significantly influenced by the teacher's political view in classes. As can be seen, it is obvious that teacher's social or political thoughts could affect students.
 
To wap it up, admittedly teachers have the rights to hold and mention their opinion on social or political things. However, looking at all statements above, if in the classroom, it is undeniable that its negative effects outweigh the favorable outcome of it.",//,essay,::
"“In difficult situation, the teacher who give me hope and dream”",//,"When I was the third grade of high school, I got an extra-curricular English teacher. And I worked harder, but it was not able to pick up my English grade.
 
I failed to get into the college and then I had to repeat college entrance exam. I went to my parents and I said “ Dad! Mom! I will take up the challenge of retaking the entrance examination! ” and then my mom and dad had no say and there was silence in the room. I expected a positive answer. But my parents said that “Young Suk, It is not a good idea, we can’t agree with your opinion. If you would repeat college entrance examination, It is not guaranteed to improve grade for 1 year.“ this answer did not satisfy me.  My parent‘s character is realistic and skeptical. Sometime it hurts me.
 
After I seriously struggled with the matter, I decided to try to repeat college entrance examination through self-teaching myself, despite of the objections of my parents. I told my parent about my plan. My parents did not say anything.  I was to study the reading room near my house. I went there with pack lunches, because I did not have money. I studied alone except for English. I had courage to call my extra-curricular teacher who taught me before and I called. At that instant, the telephone was trembled as my heart. Though the receiver, I said “Teacher ! I am Young Suk. I decided to study for college entrance examination again. But, it is difficult to study English alone . Can you help me? Actually I don’t have any money but If you help me, I will repay for your favor!!”  Centainly it was rude request to teacher. I felt shame and nervous . But I had  little hope.  Surprisingly, the teacher’s response was favorable. Teacher said that “ Are you trying again examination for college entrance? Oh I feel sorry. Okay let try again with me! After 10 minutes, can I meet you at McDonalds on the Academic streets?” I was very surprised and I replied loudly “Yes, I can!!” After a while, I went to McDonald on the Academic streets. Even my teacher arrived faster than me. I opened the door with a heart pounding. I greeted gladly teacher. “Hello! Teacher!!! It is been a long time. Nice to meet you” my teacher was reading the English newspaper and said “ Hi ! Young Suk!! “
 
We were going to have one study meeting per week, because he was a postgraduate student at that time. I thanked him a lot. Thanks him, I felt that I could pass the examination right now. After we ended our talking, we walked on the Academic streets. When I walked alone on the Academic streets, I always felt lonely. However, today, thanks to the teacher walking with me, I felt better and more confident than ever before.
 
 The teacher always taught me English thoroughly and efficiently. And when I asked something about English he always taught kindly like an older brother. Once, I could not remember a certain word exactly. I tried remembering the word exactly. However, I was not able to remember the word. Eventually, I sent the clues about the word the teacher. And then after a while, he sent the exact word. The teacher was so nice to me. I appreciated a lot of the teacher and I decided that “I will repay for his kindness and I should be the man like him”
 
He majored in Economics at the University. When he had to decide, he always thought rationally. When he bought products, after comparing product’s price and function thoroughly, he decided to buy. Once, we went to market to buy Coke. After he compared bottle Coke’s price, quantity and can Coke’s price, quantity, he said “Both price were same.” And then he picked up the can Coke. I was wondering and I asked “Many people like the bottle Coke. But why do you choose the can Coke?” And he replied “Both Coke’s price is same. The bottle Coke easily exit the bubble, while the can Coke do not get out of the bubble easily. And he said “Many people buy products without price comparison. Young Suk, when you buy a product, it is not wise to buy without price comparison. It is the theory of the price comparison in Economics.” After that, when he purchased products, he liked mathematical calculations. He was so nice to me and he was very rational person
 
He sometime taught me the theory of Economics and introduce that Economics is how useful in everyday life. He looked like so smart through my eyes. At that moment, I thought that “I should be the man who is smart and kind like my teacher. And I will major in Economics!“ and As I told him that I will major in Economics, he really was pleased and encouraged me “ Young Suk, I am sure that You will be the best Economics student !” He always encouraged me.    
 
Our class was continued in September. Although from September to November, I had to study alone, I did not feel lonely or fear. Instead of that, I felt confident. In November, I applied for the Korea SAT. And then I received my report card. At the instant, I could not stop talkin. My grade was improved especially in English! I decided to apply for Economics at University. My parents seriously worried that about my applying because It was difficult to admission to Economics. However, this time, my parent believed me. My admission was not guaranteed. The day of the announcemen, I tried to check my result with trembling heart. As the result, I got a admission in Economics! I was very happy. That night, my family enjoyed the party. And I reminded my teacher.
 
 After my admission, I could not reach him because he went to U.S.A. at the university first day,
 I thought that “I should be the wise man like the teacher as well as the man who help another people.”",//,essay,::
Sports are popular all over the world. Explain why sports are so popular. Use reasons and specific examples to support your answer.,//,"  Many people think that the reason of popular about sport is that sport is interesting because whenever playing sport like a abaseball, many people always concentrate about the game. However, I strongly believe that the reason of sports are popular, we get a lot of positive things during playing a sport because when we play game, our body is much healthier than before and we can get many relationships.
 
           First of all, when we play sport, our body is always getting healthier. In my case, when I was middle school student, I was week. My lung is too week to run long time. At that time, my father recommended me to jog every morning. Actually, first I started jogging, I couldn’t finish the goal. However, whenever I jogged, my lung and my legs were getting stronger than before. Finally, I could get to the goal without problems. As a result, I went to the Il-san Marathon in Korea and I got a second prise. This say that because many people know that sports make them healthier, sport is popular.
 
           In addition, while we are playing a sport, we can get huge relationships because, if we go to the sport club, we can meet a lot of people. In my friend’s case, his hobby was hiking and he was a member of Clark Hiking Club. So he usually hiked the mountain with his friend’s. Whenever he hiked, he could get a lot of friends. At that time, his mother was hurted by a huge car accident, he met a huge problem about taking care of his mother. It was very hard work, however, his hiking club friends started to help him treat her. As a consequence, his mother was healed perfectly. This fact claim that a relationship while hiking with his friends is one of the reason that why sport is popular.
 
           In short, while we are playing a sport, we can get a lof of possitive things for two essencial reason. If you start to exercise something, you can know why sport is popular.",//,essay,::
"In order to stay well-informed, people should get information from various news source.",//,"There has been an argument regarding the issue that people who want to stay well-informed should get information from various news source. There are myriads of people insist that people in modern days get too much information, so it is enough to read one kinds of news. But, from my perspective, it is essential to read various kinds of news source to get well-informed.  

First of all, todays news sources are specialized in their particular fields. A economic newspaper is write the article especially about the economic issues. In case of sports and entertainments are in the same situation. If people want to we-informed, people should earn information from different kinds of news source. To illustrate, research conducted by Korea University verified that specialization of news sources are getting deeper and deeper. That means if people want to know properly, it is necessary to get information from a wide array of news sources.  

Secondly, many news sources are reflecting the certain social tendency. If we keep getting information from one news source, there are possibility to affect our idea to be bigoted. To be adequately informed, people should get to know the different viewpoint of sources from different kinds of news. For example, South Korea News Committee informed that the tendency of news sources of South Korea is divided into 3 categories. Their character reflects the owner's certain viewpoint about the politic. That illustrates that in order to get balanced knowledge, people try to understand various of viewpoint from various news source.  

To sum up, it is imperative to get information from different kinds of news source. It is because that todays news are too specialized, and some news sources are bigoted. By getting information from different news sources, people can stay well-informed. ",//,essay,::
Reading books is a more satisfying pastime than watching movies.,//,"Some people might argue that watching TV is a more useful hobby than reading books. It is because people can get rid of stress when they watch TV. However, I believe that reading books is a more fulfilling hobby for two reasons. First, people can broaden their views. Second, reading books improves work efficiency.
 
First of all, reading books can allow people to broaden their horizon. By reading a lot of books, they can learn about different worlds of lifestyles, basic customs and cultures. It is obvious that they may go through trial and error. However, they can learn to embrace diversity through this experience. For example, when I had a part-time job, there was an Ethiopian girl who brought home-cooked meals for lunch. She ate with her hands without using utensils, and other students who had never seen such a scene kept their distances from her. On the other hand, being educated on Africa and African table manners through various books, I was perfectly understanding and comfortable with what was taking place.
 
In addition, reading books can encourage people to work with more passion. This is attributed the fact that it can serve as one of the key motivators for them to perform better and to improve themselves. With such motivation, they put in more effort, concentrate better on their tasks, and feel a greater sense of responsibility for their work. According to a research conducted by the Ministry of Labor in 2009, there was a huge difference between two groups of employees in relation to their achievement. Employees in Group A who regularly read books and those in Group B did not. The researchers showed that the former group spent 25% more number of hours on working and performed higher than the latter group. In particular, the employees in Group A followed instructions, submitted assignments on time, and participated actively in group meetings. On the other hand, those in Group B dozed off and lacked focus while working. It can be inferred that reading books frequently has a direct correlation with the amount of effort and energy that employees invest in working.
 
All in all, the importance of my view cannot be underestimated by the fact that it can kill two birds with one stone for the reasons I have mentioned above.",//,essay,::
