toefl,::,,::,I/B/C,::,Thesis,::,Topic,::,Coherence,::,Transition,::,Main Idea,::,Supporting Idea,::,Style,::,Usage,::,Critique,//
416&Do you agree or disagree with the following statement? A person's childhood years (the time from birth to twelve years of age) are the most important years of a person's life. Use specific reasons and examples to support your answer.,::,"<IN><TS>I strongly agree that person's childhood years (the time from birth to twelve years of age) are the most important years of a person's life. This is for the following two reasons: One is that children acquire the quality that they can talk in this period, and another is that the good manners are generated in this period.</TS></IN>

<BO1><MI1>The main reason for my argument is that children acquire the quality that they can talk in this period.</MI1> <SI1><EX><TR>According to the survey</TR>, if children do not learn words in his early season, they cannot learn words through their whole life.</EX> Anybody knows that the ability to talk is very important to communicate among the people. So this period from birth to twelve years of age is the most important years of a person's life.</SI1></BO1>

<BO2><MI2>The second reason why I agree with above statement is that the good manners are generated in this period.</MI2> <SI2><TR>In Korea</TR>, there is a famous probe that ""The habits of three years old will be continued until fifty years old."". Like this probe, we know that the manners are decided in early part of life. Because a person who learned the good manners in childhood they have the ability to adapt their society with few troubles. <TR>However</TR>, if a person who have bad manners such as oversleeping, overeating, drinking, and so on, they have more troubles to live with people. So this period is important they can have right habits which help them to live with people.</SI2></BO2>

<CO><TR>In conclusion</TR>, I think in the long run that a person's childhood years (the time from birth to twelve years of age) are the most important years of a person's life. Because they can learn to talk, and can have good manners. Those are very important in their whole life.</CO>",::,4,::,3,::,4,::,4,::,4,::,3,::,4,::,3,::,4,::,This is an above average quality essay. Examples in support of the main points would have improved the essay. ,//
417&Would you prefer to live in a traditional house or in a modern apartment building? Use specific reasons and examples to support your choice.,::,"<IN><TS>I think both living in a traditional house and a modern apartment building have each advantage. In case of a apartment building, there is more convenient life. <TR>HOWEVER</TR>, I would like to live in a traditional house because a traditional house is a independent place from other houses and it is larger space than a apartment building. Moreover, it can be renovated easily structure of the house.</TS></IN>

<BO1><MI1><TR>Most of all</TR>, the privacy is to be invaded by others in modern apartment building.</MI1> <SI1>In case of a apartment building, two housing space is so closed that we have to be more careful to respect others life. <TR>HOWEVER</TR>, sometimes it is very difficult to respect others life. <EX><TR>For example</TR>, if my neighbors turn the volume up listening to music, our life may be disturbed by too loud music. when we invite others such as friends, we also have to keep quiet because it is too closed between two housing space.</EX> <TR>Therefore</TR>, I think it is better to live in a traditional house.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, usually a modern apartment is too small space to live.</MI2> <SI2>Most apartments have at most two or three rooms. In my case, because I have five people in family, it has too little rooms. <TR>In addition</TR>, the size of room is smaller than that of traditional house. There is also no place to grow some flowers. <TR>On the other hand</TR>, most traditional houses have not only a garden but also several rooms. <TR>Moreover</TR>, parking lot of a apartment building may be dangerous because usually it is located under the ground.</SI2></BO2>

<BO3><MI3><TR>Finally</TR>, in case of a traditional house, it is easy to renovate the structure of house.</MI3> <SI3><TR>Sometimes</TR>, we may want to change the function of room to make more convenient space. <TR>However</TR>, because a apartment building is made of concrete, it is difficult to renovate the structure of house. <TR>On the other hand</TR>, a traditional house is easier to renovate it because it is made of wood.</SI3></BO3>

<CO><TR>In conclusion</TR>, I think it is better to live in a traditional house than a apartment building. It is a independent place from other houses as well as I can use and have bigger space to live. It also easy to renovate house as I want to change.</CO>",::,4,::,4,::,4,::,4,::,5,::,4,::,4,::,4,::,3,::,This is an above average quality essay. There are great transitions that aid in the flow of the essay and conclusions given. ,//
418& What do you consider to be the most important room in a house? Why is this room more important to you than any other room? Use specific reasons and examples to support your opinion.,::,"<IN><TS>I think every place in a house is important. <TR>However</TR>, if I have to say which room is more important to me, I would like to say it is a living room. Because it offers us the place where family have a conversation together and when some visitors come to our home, they usually spend most time at living room.</TS></IN>

<BO1><MI1><TR>First of all</TR>, all of family has their each room.</MI1> <SI1>So when we talk about something, we have a conversation in living room. The living room also offers us the place where we watch TV together because the living room is the largest place we can gather together. <TR>Especially</TR>, in modern society, each of family has a difficulty to meet together because of their busy life. <TR>Therefore</TR>, the function of living room is getting important in that it is the place to meet together. Thus, I think the living room is more special to me.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, a living room is the place where visitors get a first impression about our house.</MI2> <SI2>Because there are some sofas to make a comfortable and we usually lead them to the living room. So we have more decorations in the living room. Of course, sometimes we show visitors our private rooms or bedrooms. <TR>However</TR>, it is not often things.</SI2></BO2>

<BO3><MI3><TR>Finally</TR>, a living room can be used with various objections.</MI3> <SI3>If we have too much guests, we can’t have a dinner together. <TR>However</TR>, we can use the living room to replace dining room. <TR>Moreover</TR>, unlike other rooms, it has larger windows giving sufficient sun lights. So I like to read a book or listen to music in the living room.</SI3></BO3>

<CO><TR>In short</TR>, I think every space in my home is important. <TR>However</TR>, the living room is more special to me because it gives my family the place we can have a conversation and we usually invite our friends into the living room when they visit our home.</CO>",::,4,::,3,::,4,::,4,::,5,::,4,::,3,::,4,::,4,::,This is a below average quality essay that has weak thesis that takes a position but does not adequatly communicate the direction that main points of the essay will go. This hurts the main points as well as the quality of the supporting points. ,//
419&A company is going to give some money either to support the arts or to protect the environment. Which do you think the company should choose? Use specific reasons and examples to support your answer.,::,"<IN><TS>If a company is deciding whether to give some money to support the arts or to protect the environment, I would tell them to choose to protect the environment. We have plenty of time to enjoy arts. However if we don't care about our environment at the right moment, it will be too late to recover it later. <TR>Also</TR>, this environment which we are living in will soon be the home of our descendants. We have the duty to keep it clean.</TS></IN>

<BO1><MI1>We have many chances to enjoy arts.</MI1> <SI1>Even if we don't go to an art gallery today, we can go tomorrow or some other time. <TR>However</TR>, if we just leave the environment polluted and don't care about it today, It might be too late to cure the environment tomorrow. Some people in Korea hasn't cared about the environment thinking they would be able to recover it later. That wrong understanding has brought our clean country to a polluted one.</SI1></BO1>

<BO2><MI2>This place, the environment, is where our descendants will be living in.</MI2> <SI2>It is our duty to keep the environment clean. <TR>Of course</TR>, leaving great art works or music for our descendants is important. <TR>However</TR>, it would be no use if they get to live in a polluted environment. It will be hard to enjoy the artworks.</SI2></BO2>

<CO>Though everything is important to live : art, environment......, I think the environment is most important. We can live without arts, music. Those things are what people want. <TR>However</TR>, the environment is what people need. If we don't care about it now, we will probably regret after its too late. <TR>Also</TR>, it is a duty for people to maintain the clean environment for our descendants. We should live taking good care of our environment.</CO>",::,3,::,4,::,4,::,4,::,3,::,3,::,3,::,3,::,4,::,This is an above average quality essay. Examples in support of the main points would have improved the essay. ,//
"420&If you could change one important thing about your hometown, what would you change? Use reasons and specific examples to support your answer.",::,"<IN><TS>If I have a chance to change one thing in my hometown, I would not hesitate to change the traffic condition. My hometown, which is the second biggest city in Korea, is suffer from heavy traffic problems, and obviously the most serious problem is traffic jam. Every morning poeple are in rush hours, and it is very common to see tangled roads here and there. I can say that changing the traffic condition is the urgent task in my hometown. I will specify why the traffic condition should be changed through showing some good effects resulting from the improvements on traffic condition.</TS></IN>

<BO1><MI1><TR>First</TR>, people can save their time.</MI1> <SI1>It is apparent that many people throw away thier precious time in the road because of traffic jam. Specifically in my hometown the average time to go to school in the morning is about 30 minutes though the distance between school and my home is only 3Km. <TR>However</TR> if the traffic condition is improved and I could save my time to go to school, then I can spend my precious time to do more valuable things such as studying or exercising rather than getting on the bus . <TR>Also</TR> not only students but also workers can spend their time more meaningfully. Changing the traffic condition can make people save their time and do more valuable things.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, improvements on traffic condition can make the economy go up.</MI2> <SI2>No company wants to start their business in the place which has a serious traffic jam. <TR>In fact</TR>, even though my hometown is one of the biggest cities in Korea, the local economic growth rate is not so good and actually the entrance of new business units is decreasing. <TR>In my opinion</TR>, the change of traffic condition will attract many potential business companies and in turn, it will make our economy booms up.</SI2></BO2>

<BO3><MI3><TR>Finally</TR>, people will be more kind and friendly by the improved conditions in traffic.</MI3> <SI3>You can easily see many people be eshausted and get stressed by heavy traffic jam. <TR>Also</TR> people are tend to get angry even by some tiny matters. <EX><TR>For example</TR>, my hometown is known for unkind people and many of them are selfish and easily get angry. I can see many grown-ups fight each other by very trivial matter.</EX> <TR>Therefore</TR> one can expect that better traffic condition can contribute the harmony of my hometown.</SI3></BO3>

<CO><TR>In sum</TR>, the most important thing that should be changed in my hometown is the traffic condition. <TR>In my opinion</TR> through the improvements on traffic condition we can save precious time, live in more robust economy and get along with more friendly people.</CO>",::,4,::,5,::,4,::,4,::,4,::,4,::,4,::,4,::,4,::,"This is an above average quality essay mainly due to the clear, comprehensive and clear thesis statement that sets the tone for the rest of the essay. ",//
421&You have the opportunity to visit a foreign country for 2 weeks. Which country would you like to visit? Use specific reasons and details to explain your choice.,::,"<IN><TS>If there is an opportunity for me to decide one country that I can visit for two weeks, I will definitely choose France, because I can improve my French skill and I want to go on an excursion following the footstep of Vincent Van Gogh, the greatest artist.</TS></IN>

<BO1><MI1><TR>First of all</TR>, I can complete my French skill staying in France for two weeks.</MI1> <SI1>To master an foreign language, it is very essential to talk with native speaker. In my case, I have studied French since high school student. So all I need is practice to speak fluently. Communicating with French in person for two weeks, I can master French.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, I love Vincent Van Gogh's paintings and I've wanted to visit the places where had been backgrounds of his arts.</MI2> <SI2>It is very exciting to visit places that I've seen only through pictures. This special experience will provide me a strong motive to mature emotionally.</SI2></BO2>

<CO><TR>To summarize</TR>, there are two reasons that I want to stay in France for two weeks. It is because to improve my French skill and to visit the backgrounds of Vincent Van Gogh's paintings.</CO>",::,4,::,3,::,4,::,4,::,4,::,4,::,3,::,4,::,3,::,This is an above average quality essay. Examples in support of the main points would have improved the essay. ,//
422&Do you agree or disagree with the following statement? Universities should give the same amount of money to their students’ sports activities as they give to their university libraries. Use specific reasons and examples to support your opinion.,::,"<IN><TS>If universities donated a lot of money from someone or company, they could invest various the fields. I disagree them to spend all of their money to their student's sports activities. Firstly, university have to spend at their libraries more money than their student's sports activities because the major activities of the university pursue the academic research. Second, advancing the civilization, all of students demand on them to learn new technology. <TR>Therefore</TR>, I personally insist that universities should give a great deal money to their university libraries.</TS></IN>

<BO1><MI1><TR>Firstly</TR>, our children grow up, and they have to study hard because of improving themselves.</MI1> <SI1><TR>However</TR>, studying by oneself is limitations, so they want someone or some company, and school help. <EX>When I was high school, I really studied hardly for enrolling the university. I had to pass kinds of entrance test for university. <TR>However</TR>, it is very hard to me, I have five siblings, so my parents didn't have numerous of money for teaching their children. <TR>Moreover</TR>, I have to study alone by the time entering university. All of the subjects which I have were very limited. I always felt to lack information and material. Time passed, I enrolled the university.</EX> When I saw many books and used to computer at the libraries in the university, I felt to fly the sky. It is pleased me to give big happiness.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, in these days, nobody knows how to use computer.</MI2> <SI2><TR>Also</TR>, everything is progressing by using computer, typing, search for data and making a paper. <TR>However</TR>, whenever I visited my university libraries, I had to wait long lines. <TR>Furthermore</TR>, someday I really waited for searching for data the long lines during a day, I could not use computer because of many students. The day was very terrible. I think it is bad, the roles of universities do not keep to students because students have to ask their rights for using computer. If the university had a great deal of money, they firstly could spend libraries of the university.</SI2></BO2>

<CO><TR>Finally</TR>, most of the university may need to spend lots of money for their student's sport's activities. <TR>However</TR>, if they donated a great money, I strongly take a charge of that they have to decide the money to spend for the student's library because our students are enough studied..</CO>",::,4,::,4,::,4,::,4,::,5,::,4,::,5,::,4,::,4,::,This is an above average quality essay that has poor balance mainly in that it does not carry through the conclusions through to the final conclusion paragraph. The thesis however is strong and allows for decent main points and strong examples to prove the main points.,//
423&You need to travel from your home to a place 40 miles (64 kilometers) away. Compare the different kinds of transportation you could use. Tell which method of travel you would choose. Give specific reasons for your choice.,::,"<IN><TS>If I have to go some place 40 miles away from my home, I can go there by both a subway and my own car. And I’d choose to go there by a subway. Not only does this transportation cost lower than another but also takes shorter time to get the place. So I would go the place by a subway. With some more specific reasons, I’ll explain why I prefer to use the subway.</TS></IN>

<BO1><MI1><TR>First of all</TR>, to take a subway is a lot cheaper than to drive with my own care.</MI1> <SI1>If I drive to go there, I have to pay high way express toll pee. (My home is the satellite city and every road to the city charges the toll pee.) And I have to use about 20000 won (won is the Korean monetary unit and abut 20 US dollars.) because it’s 40 miles away. Comparing with that, the fee for the subway is just 1000 won (about 1 US dollar). If I drive to some place 40 miles away, I have to pay at least 20 times more than take the subway. What a clear reason.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, it takes shorter time to get there by subway than by my own car.</MI2> <SI2>As I said before, I live in the satellite city, and we don’t have many roads to the city center. Because of that, we always have huge traffic jam to get to the city from my town. But by subway, I never have to worry about the time. Subway is always very punctual and doesn’t have any traffic jam. So I can make it without worrying about being late.</SI2></BO2>

<CO>There are many methods to go some place from my home. And two of the most representative methods are taking subways and driving my own car to get some place. Then there are much more good reasons to take a subway such as lower costs and shorter time to go there than to drive my own care. So I’d take a subway to go the place 40 mile away.</CO>",::,3,::,3,::,4,::,4,::,4,::,4,::,4,::,4,::,4,::,This is an above average quality essay. Examples in support of the main points would have improved the essay. ,//
424&Imagine that there is a plan to build a new motion picture theater in your community. Do you favor or opposite this plan? Why? Use specific reason to support your opinion.,::,"<IN><TS>In modern life, many people spend much time to rest or relax. Watchng movie in a theater is one of recommendable relaxing method. Almost theater locate in the center of the city. If a theater is built in our community, it is considerable problem. In my view, it is very benefitable for our community. It can be helpful to our leisure and development of community.</TS></IN>

<BO1><MI1><TR>First of all</TR>, close theater save our time.</MI1> <SI1>If we go to another region to watch a movie, it takes a lot of time. we could meet traffic jam and waste precious time. <TR>But</TR>, theater locate in our region enable us to save lots of time and we can see another movie or do another things instead spending time on the road. Close theater enables to save time which is important to modern people.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, it can be helpful to development of community.</MI2> <SI2>Theater will be crowd with many people so that cause to arise many stores like fastfood stores, coffee shops. People will spend much money in the theater and other stores around theater. Theater and stores will pay lots of tax to our community. Tax will be spend for developing our community. Theater is very helpful to develope our community.</SI2></BO2>

<CO><TR>All in all</TR>, to build a theater in our community is very profitable. It can prevent to spend unnecessary time in our leisure so that save precious time. And tax taken by theater and stores will be spend to develop our community. With these reason I support to build a theater in our community.</CO>",::,4,::,3,::,4,::,4,::,4,::,3,::,4,::,3,::,4,::,This is an above average quality essay. Examples in support of the main points would have improved the essay. ,//
425&Some people prefer to live in a small town. Others prefer to live in a big city. Which place would you prefer to live in? Use specific reasons and details to support your answer.,::,"<IN><TS>In these day, most of the people tend toward live in rural area more than urban area. The reasons which they want to live in rural area are a variety of things. Firstly, the country side was felt freedom, secondly, they live to combine with natural environment, and third, the area make to be more human. <TR>Therefore</TR>, I prefer to live in small town or rural area after I retire from all of my work.</TS></IN>

<BO1><MI1>I have lived in a big city since I was born.</MI1> <SI1>I have really never take out of the big city still now. Some day, when I was middle school student, I went to picnic with my friends and teachers. At that time, I saw very larger fields, I smelled too fresh air that I never breathed at a big city. The air give me new inspiration, and I felt my brain was evoked by it that time. After going to the picnic, I have always gone to the country side so far. I love to touch the fresh air at my cheek and whole body.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, I have always seen many buildings, and many cars when I opened my eyes.</MI2> <SI2>The all of things usually give to feel discomfort. My husband and I discussed about our environment, so we decided on moving to out side from city urban area. After moving, when I waked up early morning, and opened my windows, I can see mountains in front of my house. The mountains often was told me "" hi, how are you?, Can you sleep well?"". I like to talk with my mountains.</SI2></BO2>
 
<BO3><MI3><TR>Finally</TR>, now, my age is over forty, so I often think and make a plan about my retirement.</MI3> <SI3>I love to live in deep mountains and combine with animals in natural forests. If I were older person than now, I will stay in my house whose garden is very larger and has raised many animals. I really hope so to be that.</SI3></BO3>

<CO><TR>In sum up</TR>, I can understand, nowadays, most people prefer to live in a small town or rural area because I also want to live there. Living in a small town or rural area will give everyone very peaceable living, make them as more humanistic being.</CO>",::,4,::,3,::,4,::,4,::,4,::,5,::,4,::,5,::,3,::,This is a below average quality essay that has weak thesis that takes a position but does not adequatly communicate the direction that main points of the essay will go. This hurts the main points as well as the quality of the supporting points. ,//
426&Some high schools require all students to wear school uniforms. Other high schools permit students to decide what to wear to school. Which of these two school policies do your think is better? Use specific reasons and examples to support your opinion.,::,"<IN><TS>In these days, there is controversial issue whether students should wear school uniforms or not. Some people insist that school uniforms encourage students to feel a sense of unity. Of course, school uniforms have a positive aspect. <TR>However</TR>, School uniforms are easy to ignore students’ individuality. In addition, wearing what they want is more comfortable. Thus, I believe that students should be allowed to wear what they want.</TS></IN>

<BO1><MI1><TR>First of al</TR>l, school should respect students’ individuality.</MI1> <SI1><TR>Especially</TR>, teenager tend to express their personality by appearance. <TR>In addition</TR>, this is the time when they form their personal character. <TR>However</TR>, if school just force them to wear school uniforms, students will receive what they are told to do without critical thought. Because they look same appearance, they will have difficulty understanding someone who has different appearance. Thus, I am convinced that students should be allowed to wear what they want.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, wearing what students want is more comfortable.</MI2> <SI2>Most school uniforms are suits. <TR>Moreover</TR>, students can’t a kind of uniforms they want. In my case, I wore school uniforms when I was at high school. <TR>However</TR>, I don’t like to wear it because it was not comfortable as well as I don’t like the shape of cloth. <TR>Especially</TR>, I didn’t like to wear a necktie. Most students of my school complained How it’s not comfortable. <TR>Nevertheless</TR>, we had to wear school uniforms due to the law of school. <TR>Therefore</TR>, I object to wear school uniforms.</SI2></BO2>

<CO><TR>In conclusion</TR>, school uniforms have a good advantages in that students can feel a part of group. <TR>However</TR>, to wear school uniforms is easy to ignore students’ individuality and is not comfortable. In addition, I think what to wear is a basic right of students. Thus I believe that No one can oblige to wear school uniforms to students.</CO>",::,4,::,3,::,4,::,4,::,4,::,3,::,4,::,3,::,4,::,This is an above average quality essay. Examples in support of the main points would have improved the essay. ,//
427&Some people like doing work by hand. Others prefer using machines. Which do you prefer? Use specific reasons and examples to support your answer.,::,"<IN><TS>It can be an important issue weather what is the better choice between using machines and by hand when people do their work. Some people enjoy doing work by hand while others prefer using machines, <TR>However</TR>, as for me, for the machines allow me to work in more convenient way and it could be possible for people to work accurately, I would prefer working with machines rather than by hand.</TS></IN>

<BO1><MI1><TR>To begin with</TR>, the machines provide me for doing work in more efficient way than by hand.</MI1> <SI1>As modern society becomes hectic, people usually have numerous things to work done in time. Not only are the machines quick but also have an ability to make it possible to do a lot of works at the same time, it would be easier, and more convenient when people do their jobs.</SI1></BO1>

<BO2><MI2><TR>Moreover</TR>, people could have a perfect work in using machines.</MI2> <SI2><TR>In other word</TR>, the machines do work in an exact way without making a mistake so that people could do their work with accuracy. It is needless to say that people are not machines which means people are not always correct, <TR>however</TR>, the machines can do no matter there are much works to do without any mistakes.</SI2></BO2>

<CO><TR>With the reasons given above</TR>, I think that the machines have more advantages than by hand. The machines give me an effective way in doing my work such as accuracy and convenience. This is why I prefer using machines when I do my work.</CO>",::,4,::,3,::,4,::,4,::,4,::,4,::,3,::,4,::,3,::,This is a below average quality essay that has weak thesis that takes a position but does not adequatly communicate the direction that main points of the essay will go. This hurts the main points as well as the quality of the supporting points. ,//
428&Do you agree or disagree with the following statement? Grades (marks) encourage students to learn. Use specific reasons and examples to support your opinion.,::,"<IN><TS>It has been issued that “Do we, an human being, truly need a grade to encourage students to learn? ” since 1998. This controversy is still being done now, yet I would like to claim that students are really need to be graded. There are enough reasons for it.</TS></IN>

<BO1><MI1><TR>First</TR>, it gives us goals and reasons to study.</MI1> <SI1>I can truly sure that the man need goals to do something. <TR>Otherwise</TR>, without any goal, there must be nobody who would like to work for it. We can see this fact in the failures of communism societies such as USSR and North Korea. Their government did not give a goal to people, which are main reasons for work , so people did not want to work for nothing. <TR>However</TR>, in capitalism, government give them a goal, allowing private properties, so people want to work for themselves. As you see in this case, grade can be a best thing to motivate students to study. It is because if they work hard and get a good score, they will get a good job and reputation in their society. It provides lots of advantages to them, so students must be encouraged to study.</SI1></BO1>

<BO2><MI2><TR>Second</TR>, grades are needed not only for students, but also for society such as company.</MI2> <SI2>Without any grade, there must be nothing which are required to judge abilities of students. So people only can estimate their ability by unscientific sources such as feel and feature. It can be really unfair to lots of students who worked hard for their better life.</SI2></BO2>

<BO3><MI3><TR>Third</TR>, there are not enough reasons for making changes from grade system with spending lots of time and efforts.</MI3> <SI3>Few people insist that student will study to seek for truth, but it is still too idealistic and unscientific. As I mentioned before, most people work for their advantages.</SI3></BO3>

<CO><TR>In conclusion</TR>, grades lead lots of students to study, and it also contributed to our society. <TR>Moreover</TR>, we should also think about a satisfaction that students might feel when they achieve their objects. For many reasons, I would like to insist that grade is essential for students and our society. Written by Jin-Kyu, HA</CO>",::,5,::,4,::,4,::,4,::,3,::,3,::,3,::,3,::,4,::,This is a below average quality essay that has weak thesis that takes a position but does not adequatly communicate the direction that main points of the essay will go. This hurts the main points as well as the quality of the supporting points. ,//
429&Some young children spend a great amount of their time practicing sports. Discuss the advantages and disadvantages of this. Use specific reasons and examples to support your answer.,::,"<IN><TS>It is generally acccepted truth that children can learn about various valuable qualities through practicing sports. In recent days, some young kids spend a large amount of their time exercising and playing sports. Enjoying sports provides both advantages and disadvantages for children.</TS></IN>

<BO1><MI1><TR>First of all</TR>, practicing sports can be beneficial for children because it provides the increase of their health and the spirit of cooperation.</MI1> <SI1><TR>As a matter of fact</TR>, most sports need hard exercise and training. During this training, children can obtain physical improvement and fittness. <TR>Also</TR>, they can learn about the significance of cooperation through involving in the team. <EX><TR>For instance</TR>, I participated in the baseball team when I was a elementary school boy. Because I trained everyday, my health had improved noticeably.</EX> <TR>Moreover</TR>, I realized the importance of my role in my team and team play through playing actual game.</SI1></BO1>

<BO2><MI2><TR>In contrast</TR>, spending too much time practicing sports can be malicious for children in various aspects.</MI2> <SI2><TR>First</TR>, they may spend less time studying due to exhausted exercise. <TR>Also</TR>, they may be damaged during practicing tough sports such as football or basketball. Since the study and preserving their physical condition without an accident is more vital for young children than practicing sports, they should be kept from spending too considerable time in sports.</SI2></BO2>

<CO><TR>In conclusion</TR>, young children should spend a proper amount of time practicing sports. It goes without saying that children can not only improve their physical condition but also learn about the spirit of cooperation which is an extremely valuable quality in their future life through suitable exercise of sports. The most important thing to realize is that children should care for themselves during practicing sports.</CO>",::,5,::,4,::,4,::,4,::,4,::,4,::,4,::,4,::,4,::,"This essay is an above average quality essay. While much of it just meets the basic requirements of an essay, it excells in balance and structure so that that reader can easily follow and read the points that the authro desires to bring to attention. ",//
430&Some people prefer to spend time with one or two close friends. Others choose to spend time with a large number of friends. Compare the advantages of each choice. Which of these two ways of spending time do you prefer? Use specific reasons to support your answer.,::,"<IN><TS>It is generally accepted truth that real friends are the most valuable and beneficent in our lives. Some people like to spend their time with a numerous friends, while others prefer to spend time with one or two close friends especially. Both have advantages and disadvantages. <TR>However</TR>, I would like to say that associating with a few special friends is more beneficial for me because I can consult with them about my problems and they can correct my faults.</TS></IN> 

<BO1><MI1><TR>First of all</TR>, I can consult my serious concerns with my close friends.</MI1> <SI1><TR>As a matter of fact</TR>, it is more convenient and easier to consult with my friends than other people. <TR>Also</TR> the closer relationship I have with my friends, the more specific problems I can share with them. <EX><TR>For instance</TR>, I broke up with my girl friend last year. At that time it was very gargantuan shock for me, and I even had a difficulty with do other things such as studying or meeting other people. <TR>Thus</TR> I consulted my problems with one of my closest friends, and he advised and encouraged me. Soon after that talk, I could recover from that difficult situation. Even though I could consult with other shallow friends about that problem, I think that it did not work well compared to my closest friend.</SI1></BO1>

<BO2><MI2><TR>Furthermore</TR> my close friends can indicate and correct my defects.</MI2> <SI2>Although I can learn about various aspects from a great number of friends, I mere obtain considerably shallow relationship with them. In contrast my especially close friends know me best and they can advise and amend my faults all the time. <EX><TR>For example</TR>, I had a motorcycle accident three years ago. At that time, my best friend admonished and advised me not to ride a autocycle and be more careful.</EX> I accepted that faithful advice and I never ride a motorcycle after that.</SI2></BO2>

<CO><TR>In conclusion</TR>, associating with especially close friends are more beneficent than spending time with many shallow friends. Although a large number of friends can be helpful in various fields, the advantages of a few close friends outweigh those of many shallow friends. The most important thing to realize is that we should preserve and value the relationship with friends if we admit them to be our real friends.</CO>",::,4,::,3,::,4,::,4,::,5,::,5,::,4,::,5,::,5,::,This is an above average quality essay that has poor balance mainly in that it does not carry through the conclusions through to the final conclusion paragraph. The thesis however is strong and allows for decent main points and strong examples to prove the main points.,//
431&Some people think that children should begin their formal education at a very early age and should spend most of their time on school studies. Others believe that young children should spend most of their time playing. Compare these two views. Which view do you agree with? Why?,::,"<IN><TS>It is interesting to talk about how to do among childhood. Some people prefer children to begin their formal education at a very early age and should spend most of their time on school studies. While others prefer children to spend most of their time playing. In my case, I think that playing is better than formal education at a very early age for children because playing is a way of learning and gives children more lively experiences.</TS></IN>

<BO1><MI1><TR>Firstly</TR>, if children begin formal education through specially fixed constitutions, they could gain ability of learning.</MI1> <SI1><TR>In addition </TR>they could learn a variety of knowledge form teachers. The teachers who was educated about juvenile's psychology could guide their behaviors and an attitude toward life. It is self-evident that this situation is good at children. <TR>However</TR> beginning formal education at an early age has a chance that children have tiredness of studying. <EX><TR>For example</TR>, my little sister, 7 year-old-girl, now had to go academic center. There she learn foreign language such as Chines and English but actuality she has tiredness of studying.</EX></SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, if children have more time to play, they might be able to learn through playing.</MI2> <SI2>Playing with other children, they could learn consideration and cooperation. <TR>Moreover</TR> they might know how to avoid conflicts and how to make a friend from playing with other children. <TR>In fact</TR>, childhood is very short period and the period never comes back. <TR>Therefore</TR> children have to make good recollection. Through playing they could make happy memory and improve their EQ. <TR>However</TR> playing might cause lose interest in study. They might like only playing.</SI2></BO2>

<CO><TR>In conclusion</TR>, I think that playing is better than formal education for children. Although playing has a kind of disadvantages, children could learn how to make relationship and improve their susceptibility form playing.</CO>",::,4,::,4,::,4,::,4,::,3,::,3,::,4,::,3,::,3,::,This is an above average quality essay. Examples in support of the main points would have improved the essay. ,//
432&It is sometimes said that borrowing money from a friend can harm or damage the friendship. Do you agree? Why or why not? Use reasons and specific examples to explain your answer. ,::,"<IN><TS>It is interesting to talk about the statement borrowing money from a friend can harm or damage the friendship. Some people agree with the statement while others disagree with the statement. In my case, I agree with the statement because money is so sensitive and among friend it is difficult to say repayment.</TS></IN>

<BO1><MI1><TR>First of all</TR>, money is so sensitive that borrowing money from a friend could harm or damage friend relations.</MI1> <SI1>Imagine the situation that my friend want to borrow some money. Although I have some money, I might hesitate between lending my extra money and not. If I do not lend the money, my friend would think not only I could not trust him but dislike him. If I refuse his request with the exception of borrowing money, he would think that. Thus bargaining with a friend over the money can damage the amity.</SI1></BO1>

<BO2><MI2><TR>Secondly</TR>, among friend trading money is bad because it is difficult to ask repayment.</MI2> <SI2>No one know something to happen in our life. The person who lend some money his friend could face an imminency situation such as a traffic accident. <TR>Therefore</TR> now he need as quickly as possible some money. If we suppose this situation, we could understand the statement borrowing money from a friend can harm or damage the friendship. It is difficult that he lending money ask his friend to pay back for they are among friend. Later he could reject his behavior that he lend his friend some money. <TR>Moreover</TR> he could be very uncomfortable asking repayment. Unfortunately it is self-evident that friendship is broken after all.</SI2></BO2>

<CO><TR>In conclusion</TR>, I insist that borrowing money from a friend can harm or damage the friendly relations. There are two reasons for this: money is so sensitive and among friend it is difficult to ask repayment.</CO>",::,4,::,3,::,4,::,4,::,4,::,4,::,4,::,4,::,4,::,This is a below average quality essay that has weak thesis that takes a position but does not adequatly communicate the direction that main points of the essay will go. This hurts the main points as well as the quality of the supporting points. ,//
