diary,::,EV,::,TR,::,SR,::,CO,::,Comment,//
"305&<EV>I hate mosquitoes <TR>because</TR> they just bite humans and suck our blood <TR>and</TR> they don’t give us something good like bees.</EV>
<TR>And</TR> I was bitten by a mosquito many times <TR>and</TR> when I get bitten by a mosquito it’s itchy.
Like almost all people hate mosquitoes.
<TR>And</TR> they would look horrible as a monster.
When we open our door for a long time mosquitoes come inside our house. <TR>And</TR> when we sleep they bite us so we have to apply mosquito medicine. <CO>That's why I hate mosquitoes like everyone else.</CO>",::,3,::,3,::,2,::,4,::,Writers feelings are clearly expressed with avid self-reflection but could use stronger details.,//
"306&A mysterious thing in Little Fox 

Today when I was doing Little Fox, like listening to a movie, I heard something <TR>so</TR> I stopped and went to my brother’s room.
When I went to my brother’s room, my brother was doing Little Fox just like me. 
<TR>But</TR> I’d known what he was doing so it was not really mysterious and I went to the living room.",::,3,::,4,::,1,::,2,::,Event is described in decent detail. Self-reflection seems absent frrom the entry.,//
"307&<EV>My seventeenth tooth</EV>

Today when I was reading a book my tooth was loose so. I shook my tooth many times and. I felt something. 
I shook my tooth again and it was time to pull my tooth and I ran to the bathroom to pull my tooth. 
I folded a tissue and used it to pull my tooth.
I pulled and pulled my tooth with my hand and it was out!
The blood was pouring out and so I put a tissue inside my mouth.
<CO>I think after today this is going to be my seventeenth time pulling a tooth.</CO>",::,4,::,3,::,1,::,4,::,Event is adequately detailed but could be stronger. Self-reflection is not present at any point in the entry.,//
"308&<EV>Today in the morning when we finished the 1000-piece puzzle I was delighted because, we finished the puzzle in 4 days with my family.</EV> When we finished the puzzle my mom was talking with one of my father’s sisters on the phone. When my mom was talking I said, ""Mom! Mom! We finally finished the puzzle~!"" <TR>And</TR> I grabbed my mom’s wrist and took her to the living room and my mom said, ""Good job!!"" <TR>Then</TR> she went back to the bedroom again and talked on the phone and for commemorating I took many pictures with our family camera.",::,3,::,3,::,2,::,3,::,"Details describe the event to an extent, more would be nice. Self-reflection is also limited.",//
309&<EV>I went to Ak Plaza to pick my present.</EV> I was picking presents for a long time and l just picked one of them and I was trying to pick one more but I didn’t have what I wanted so my mom said we would come again another day because I didn’t have the present I wanted. <TR>Then</TR> we went to the counter and paid for the pencil case and went straight home.,::,3,::,2,::,1,::,3,::,Entry lacks adequate detail to appropriately describe the event. Self-reflection is also missing.,//
"310&<EV>I went to the meat buffet</EV>. When I entered I thought we were going to take off our shoes because the floor looked like our house floor. When I saw ice cream cones I was happy. Why? I love to eat ice cream and I saw many kinds of meat. <TR>First</TR> we picked meats that we wanted to eat. I was excited about the meat too because I love meat too. <TR>Later</TR> my mind was filled with wanting to eat ice cream. <TR>Later</TR> l ate many meats and asked my dad if I could eat ice cream. The ice cream was nice. Yummy. I ate a lot of meat again and l ate two scoops of ice cream. Mom said, ""Let's go home,"" and l dipped one more scoop and went home.",::,4,::,3,::,3,::,3,::,Details are somewhat limited in describing the event. Self-reflection is sporadically spread through the entry.,//
"311&<EV>I went to Daegeoun at 12:30 p.m.</EV> I was excited because I wanted to meet my cousin and I slept on the hard car cushion.
When I woke up we were almost at the village. Now we were at my cousin’s home. Ding dong. The bell rang. I was a bit bored because my cousin was playing Mario Brothers. Only my brother and my cousin were playing. We played soon and we went skating. We came back sweaty. <TR>So</TR> I took a shower with my cousin. <TR>After</TR> the bath I was a bit happy. We had a ceremony with my other cousins because of my grandmother’s death memorial.",::,2,::,2,::,3,::,2,::,Details are spotty and more of them would better describe the event. Self-reflection is appropriate at times but overall is lacking.,//
"312&<EV>Hello I’m Jenny!! I’m going to tell you about when I went to Seoul Land</EV>.
I went to Seoul Land on July 29th. I went to Seoul Land in the morning when my dad said, “We’re going to Seoul Land!” And I heard that and I was worried about the rain but eventually the rain stopped and I was happy again. We arrived at Seoul Land and I asked is it Seoul Land? Then my dad said we need to go up the stairs. We bought tickets for the elephant train. Then we arrived at Seoul Land and it was very big. We bought the tickets and went in. The first thing we did was watch a show. It was amazing because it was a magic show. <TR>And</TR> there was a bubble show too! It was wonderful. There was an amazing roller coaster and my dad and I rode it. I got inside some kind of a ball which was very hot inside and I wanted to go out soon. <TR>Later</TR> I got out and I was happy to get out of that tiny hell. <TR>Later</TR> we rode many rides, and later we saw a dance concert. <TR>Finally</TR> we rode the last ride and we rode the elephant train to come back to the parking lot. We went to our lovely home with either a happy or dreadful memory.",::,4,::,3,::,4,::,3,::,"Details are decent in describing the event but could be stronger. Self-reflection is present at times, but is mostly unclear.",//
"313&<EV>Today, I am going to introduce you to our school</EV>. Our school is placed at young in Sung Bok Dong. Our school's flower is the azalea. <TR>And</TR> our school's tree is the Chinese juniper. They are all pretty plants. At our school, there is our principal, who is very kind and handsome. He gives us information in the morning. I admire him and I also admire our vice schoolmaster. We also have kind and talented teachers who we work with. They are also very admirable.
Our friends and younger and older brothers and sisters are very kind and nice. We can help each other when there is a problem. <TR>Even though</TR> we have different parents and blood, we become one at school. We talk together, play together and think of each other. These things make our school so special. I am very proud of my school, Sung Bok Elementary School. I hope our school becomes famous all over the world. <SR>To accomplish that, we should work hard for our school and study hard!</SR>",::,3,::,4,::,3,::,4,::,Details describe the event but could use more depth. Self-reflection is present and appropriate.,//
"314&<EV>We went to a cafe today.</EV>
The cafe's name was Browny 70. 
It is at Suji, Sungbok. 
It was my first time visiting the cafe.
The cafe smelled yucky. 
We told the waiter that we wanted an ice cream waffle. 
<TR>As</TR> we waited for the yummy waffle, I read a book called The last of the Mohicans.
It was quite fun.
<TR>After</TR> a few minutes passed, the waiter carried the waffle over and put it on the table. 
There was some ice cream on top. 
The flavors were chocolate and strawberry. 
I liked the flavors.
The waffle was huge and looked very delicious.
There was some fruit and cream, too.
After a few bites, I grunted.
It was so yucky because of the ice cream and the cream!
The fruit was covered with cream and ice cream by then and tasted strange.
I wiped my dirty mouth with a napkin and then drank a cup of water in one gulp.
I wish I hadn't pleaded Mom for an ice cream waffle.
Well, I guess that is what I get when I want more than enough.
Next time, I will just eat a plain waffle!

P.S. (postscript): Never eat an ice cream waffle at Browny 70 if you hate (or dislike) waffles. I really don't want you to go through all that trouble, just like me. When you feel like you want something yucky, I truly want you to go to Browny 70 and eat some ice cream waffle.",::,4,::,4,::,3,::,4,::,Very descriptive details depic the scene well. Self-reflection is also appropriate.,//
"315&<EV>We had sports day</EV>.
It was pretty fun, but also a little bit disappointing.
I was on the white side. 
<TR>And</TR> my sister was on the other side - blue.
I hate the blue team.
They always win.
The funny thing about my team is that it keeps losing.
I was on the white team in first grade, second grade, and third grade.
I've lost many times, so I am not so annoyed about losing now.
The day of the sports day was going pretty well on our side.
<TR>Then</TR> the other team suddenly powered up.
Oh my gosh. 
We were behind them and my sister began to tease me.
I was really furious, but I tried not to get angry with my sister.
We were almost coming to the last game- the race.
We were tied with the other team.. (The same score, 290-290)
<TR>Then</TR> the race began.
Eventually, the other team won.
How bad.
I almost cried at the playground, but I couldn't because there were so many people staring at me.
I went to the academy very gloomily.
I curse the blue team very, very much. 
<SR>One day, the white team will win!</SR> !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",::,4,::,3,::,4,::,4,::,Details are decent in describing the place and time. Self-reflection is strong and rich throughout the entry.,//
"316&Some of you might have seen that Chun-Haeun-Ham was damaged on the news.
Lots of people have lost their family.
Luckily, some people's family were saved.
A lot of people think that it happened because of a torpedo from North Korea.
I hope the lost people will be found.
My thoughts of that boat damage are :
I wish the boat damage had not happened.
<TR>Then</TR> no people would have been hurt or still been lost.
The people would not be so sad or feel bad.
<TR>Also</TR>, because of the horrible news, lots of fun programs are not being shown.
So the last two weeks, I couldn't watch Gag Concert!
I hope the government will finish this work fast.
I also hope the lost people will arrive fast!
<SR>I hope our Little Fox members will be careful in everything and toward everyone!</SR>",::,3,::,3,::,2,::,3,::,"Details aren't very strong in describing the event, but self-reflection is clear and present.",//
"317&You know that colds are an annoying sickness.
<EV>Actually, I am having a cold myself</EV>.
It happened last week, Friday afternoon.
I had a math class in my house.
<TR>After</TR> the math class, I felt somehow dizzy.
<TR>So</TR> I took a short blanket and a soft pillow and laid on my bed.
I think I slept an hour, but I wasn't feeling well.
At night, I began to feel very hot.
I was having a bad cold!
On Saturday, my body temperature became 39.1 degrees Celsius!
I was boiling in my bed, but did not go to the hospital.
I still have this bad cold, but do not have a high body temperature.
Our family is really quiet since I am sick.
I am now recovering.
I hope Little Fox members won't have any illnesses!",::,4,::,4,::,1,::,3,::,Entry describes the event with adequate detail. Self-reflection is absent until the very end.,//
"318&<EV>Well, you know that persimmons becoming ripe persimmons is not so interesting.
<TR>But</TR> today I changed my thought.</EV>
This happened this afternoon, when I was taking my practice tests.
I was really hungry, so I walked into the kitchen and saw Mom.
She was licking something that was dark orange. 
I came up close to her and saw her eating a delicious ripe persimmon!
At first, I was really curious if she had really bought a ripe persimmon.
<TR>So</TR> I asked,""Mom, did you buy a ripe persimmon?""
Mom shook her head for a reply then burst out laughing.
""Oh, sorry for that. I did not buy the ripe persimmon, dear. I'll show you what I have found today.""
Oh, my! Inside the refrigerator, a horrible sight was waiting for me.
The persimmon that mother bought became a RIPE PERSIMMON!!
I was really surprised so I jumped up and thumped down on my bum.
It still aches right now. 
Mom gave me one persimmon that had turned into a ripe persimmon and held it in my hand.
<TR>Then</TR> she whispered, ""It is more delicious than the ripe persimmon that is bought.""
I guess it is true since I ate the ripe persimmon.
How about making a persimmon into a ripe persimmon in your house, Little Fox members?
It would make a great memory of your own!",::,4,::,4,::,4,::,4,::,"Event is clearly described with details by the writer, but self-reflection is absent.",//
"319&<EV>On the first day of March, I met new friends at my school.</EV>They were really tall and someone was really short. The shortest kid in my classroom is Su-Yung-Park. <TR>Also</TR> she is the most gabby girl. I am in room 3-2. I sit in the fourth row of the class. I have six friends from my older class. It was really good to see those guys! What a great thing to see them in a new room! My teacher is very scary and sometimes fun. She can smile when she is happy and we try our best. Well, if we don't, then she'd become a monster. Her smile is really rare to see. She is always kind to good-mannered children. <TR>So</TR>, after the second grade, it is the third grade. <TR>So</TR> I have class that ends at 3 o'clock. I hate that long time. I also couldn't go early because of cleaning the classroom. It is my duty to clean my classroom on Thursdays. The floor was really dirty. It was really disgusting to clean the place where we had put our food tray during lunch time. I almost threw up when I saw spilled milk and soup! Then teacher MADE me clean it. What a bad day. My partner is a girl, and her name is Min-Jin-Kim. She asked me to be her best friend, so we became friends. We shook hands for friendship. Well, she was so talkative that I couldn't even talk to her during the rest time! She is a good friend of mine, though. I like my classmates, and I hope our classmates will get along with each other!",::,3,::,3,::,3,::,4,::,Event is decently detailed but could use more details for a better scene. Self-reflection is strong throughout the entry.,//
"320&<EV>I went to Saipan last month.</EV> I was there for 3 nights and 4 days. On the first day, I went to see the bird island with my family and the guide. When I saw it, it just looked like an ordinary turtle that was too big. I didn't know why an island that looked just like an ordinary turtle was called a bird island. The guide explained that if you look at the bird island from above, I may see it like a bird flying. I also went to several places like the last headquarters. I also saw some cannons there. <TR>After</TR> that, we had a good dinner and slept. On the next day, I had breakfast and had an English class. <TR>And</TR> then I ate lunch and went swimming. <TR>Then</TR> after swimming and having a meal, I went to see a magic show called Sand Castle. It was very fun! <TR>After</TR> the show, I was really tired. So I washed up and had a good sleep. The third morning, I went snorkeling. The island that I snorkeled on was Managuaha Island. At first I just saw blurry white water. When I went in until my feet weren't touching the floor, I saw lots of fish! I liked thier colors. I went to the hotel after the great snorkeling and ate some food! Then we went kayaking. I also swam in the ocean. I swallowed the ocean water several times. It was really salty. <TR>Then</TR> we played in the pool and ate barbecue for dinner and then slept deeply.

The last day, I was really sad. But I had to leave Saipan and we returned to Korea. I still miss Saipan a lot!",::,4,::,4,::,1,::,4,::,Details start strong but weaken as the entry progresses. There is not much self-reflection present.,//
"321&<EV>Today

I went to Sokcho(속초) with my mom and dad for 3 days</EV>. We go there every summer for vacation, because there is our family condo in front of the beach.

We all love swimming in the sea and I can go horseback riding on the sand.

This time I took a horse named Hamlet. I wasn't afraid of him at all. He was gentle and nice to me, and I was sorry because the time was too short.

I played with my dad swimming together in the sea. Sometimes we raced without a tube. Sometimes we rode the wave with our tube.

My cousin's family joined us. <TR>So</TR> I had more fun with them playing soccer on the sand, collecting pretty shells and making sand castle.

One thing bad was that we could not bring our dog, Choco here. We had to leave him at my aunt's house for 3 days.

There were some jelly fishes in the sea this time. My dad found them first and told it to a coast guard.

I was so frightened because I heard some bad news about them on T.V.

My dad and the coast guard caught them all with plastic buckets. <TR>So</TR> I felt a little better. My dad told me this jelly fish is not a poisonous one.

<TR>But</TR> still I'm afraid of them, and I wish there will be no jelly fish in Sokcho beach next time.",::,4,::,4,::,2,::,4,::,Details are decent but could be better. Self-reflection is adequately placed throughout the entry.,//
"322&<EV>If I choose the longest day in a week, it will be Friday.</EV>

<TR>Because</TR> Friday is the last weekday and the next day is Saturday.

<TR>But</TR> I have my violin lesson and the art class on Fridays.

I can not help thinking about Saturday in the middle of classes.

I have a k-pop dance class in the county gym on Saturdays. it is the greatest thing I ever had.

It is really fun, so I feel one hour passes like one minute.

I follow one of the famous dancing singers in the class. I love k-pop dance.

<TR>Then</TR> how can you seat still when you know you are going to have the k-pop dance tomorrow.

<TR>Then</TR> another week comes, and time goes slowly and slowly again.

<TR>And</TR> I just wait for the next weekend.",::,3,::,3,::,3,::,4,::,Entry is somewhat detailed. Self-reflection is present but faint througout the diary.,//
"323&<EV>I have swimming lessons twice a week, Tuesdays and Thursdays at the county swimming pool.</EV>

I have been learning swimming for 3 years there, so I have many friends.

<TR>But</TR> one day some of my friends were not coming anymore without any notice.

I think it's because swimming lessons are sometimes too hard.

Well! Anyway, I always make new friends and I still have many. So I never feel lonely.

<TR>But</TR> today was a little different.

My favorite friend, Hee Seo(희서) did not come. I wondered why.

She always came except for a special day.

I was a little lonely because she was not there

<TR>But</TR> I soon forgot thinking about her and played with other friends.

<TR>But</TR> I thought it would be more fun if she were there too.

I just hope she will come next time.",::,4,::,4,::,3,::,3,::,Details are decent enough for the entry but more are needed. Self-reflection is particularly strong.,//
"324&<EV>Tomorrow is Chuseok so my family will go to Busan where my father comes from.</EV>

I am very excited that I can meet my grandfather, grandmother, aunt and my younger cousin Sejoon.

<TR>But</TR> I am a little disappoined that Choco can't come with us.

<TR>However</TR> it will be a fun Chuseok, and Choco will be glad too that he doesn't have to stay in the cage on the train for 3 hours.

One of my aunts who lives near us will take care of him for 3 days.

Mom and I made a promise to make songpyeon in Busan. And there will be other many delicious things.

I can't wait till tomorrow.



Today, it's Chuseok. We went to Busan. We arrived at 11:30 am because we got up very early to take the train, KTX, departing at 8:10.

We had so much fun. Mom, Dad, Grandma and I made songpyeon made of sesame, beans and walnut mixed up with sugar

and finally..... done. It was so delicious. I think the sesame songpyeon was the best.

I want to make songpyeon again.",::,4,::,3,::,3,::,3,::,Details are okay and describe specific events. Self-reflection is present but could be stronger.,//
"325&Today is the last day of Little Fox English diary. At first, I thought writing diary is kind of boring. <TR>But</TR> I can type faster than before. <TR>And</TR> now, I'm good at English.

If I can't keep an English diary, I will write by myself! With pencil, of course. Well, I will get a prize! I can use Little Fox one year for free!
I'm using Little Fox with my little twin sisters. If I can't write the diary any more, then they will use it instead!

I will read other writer's diary every day. good bye~~~!",::,3,::,4,::,1,::,2,::,Details are honest about the event. Self-reflection is strong in the beginning but sputters out in the middle and end.,//
"326&<EV>The long summer vacation is over, and I go back to school again.</EV>

I was very happy that we can go back to school again because I can meet my friends.

I miss them.

I ran to school. <TR>And</TR> I noticed that a new kid was sitting in our classroom.

The new kid was a boy. He was nice.

<TR>Before</TR> lunch time, we started a new book, math.

It was fun and easy.

<TR>Before</TR> summer vacation, I wasn't good at math. 
<TR>But</TR> from now on, I will study hard!",::,2,::,3,::,2,::,3,::,Diary has an updeat tempo with glossy details that don't really capture the event fully. Self-reflection is also absent.,//
"327&I have Horrid Henry series books. <EV>Today, I read ""Horrid Henry's Revenge"".</EV>

Henry is a very horrid and awful kid. His brother, Peter, was perfect.

<TR>So</TR> mom and dad loved Peter more than Henry. He was always sent to his room.

Henry tricked perfect Peter, and got himself into trouble.

Am I as horrid as Henry? <TR>After</TR> reading this book I burst into laughter!

Especially when Peter wailed and wailed. ""WAAAAAAAAAAAH!""

Horrid Henry series is fun. It didn't give me a lesson but it's funny.

I hope Little Fox users would read this too!",::,4,::,3,::,1,::,3,::,Details start strong but quickly fade. Self-reflection is honest but needs more description.,//
"328&<EV>Mom, my sister and I went to the dentist.</EV>
Just to check if I had a bad tooth.
We waited one hour to enter the dentist's office.

At last!!! my name was called.
The dentist examined me.
One of my teeth had something black on it.

So the dentist took off that 'something black' from my tooth.
It was clean.Yuck! It hurt a little bit, and it was hard work.
Mom didn't need to pay for it!

<SR>Next time, I will brush my teeth every day.</SR>",::,3,::,3,::,2,::,3,::,Details only describe part of the event and are not very descriptive. Self-reflection is also minimal.,//
"329&<EV>My cousins visited us.</EV> They are twins. <TR>But</TR> a new baby will be born.
I'm older than the twin sisters. <TR>But</TR> I like to play with them.

<TR>First</TR>, we played in the playground. It was fun, and a little messy.
We played all day. Then we went to the mountain. <TR>But</TR> it was raining.
We hurried to my home.

We cleaned our clothes and we ate snacks. It was delicious.

It wasn't as fun as playing with my friends. <TR>But</TR> it was fun because I like to take care of them!

Soon they will go back to their home. Until then I will take good care of them.",::,4,::,3,::,3,::,4,::,Details are very minimal and do not describe much. Self-reflection is also absent.,//
"330&<EV>These days, my sister and I are busy working on the 'Book Report Contest'.</EV>
We are reading some good books for the contest.
They have chosen very fun and good books.
Right now, I have just finished 'The Trees Can Have Wings'.

This book is about nature. It teaches us a lesson.
<TR>After</TR> reading this book, I learned more about plants.
<TR>And</TR> I learned about being humble through this book.

I will write a report with this book.
This is the best book I have ever read.

I hope I win. There is a prize for it.
Let's go for it!",::,4,::,4,::,1,::,3,::,Details have potential but need more depth to fully describe the event. Self-reflection is stronger towards the end.,//
"331&<EV>Summer vacation started!</EV>
<TR>But</TR> I can't play all day during vacation.I will study, too.
<TR>And</TR> I will read all the books I can.

Next week, my family is going to 'Everland'.
It will be fun.

<TR>And</TR> tomorrow, my friends and I will play together with water guns!
It's too hot at summer. <TR>So</TR> we are cooling off.

<TR>And</TR> I will help my mom. While I'm playing and having fun, my mom is busy and tired.
I will do some housework like dish washing. <TR>Then</TR> mom will be happy.

I will spend these thirty three days fruitfully.

",::,2,::,3,::,1,::,4,::,Details start off weak but get relatively stronger towards the end. There is little-to-no self-reflection.,//
"332&<EV>Saturday is my mom's birthday.</EV>
My sister and I are thinking about it all day.
Give her a present? No. I don't have any money to buy something for mom.

A letter? No. It's too small. How about food! I can make food.
If my sister helps me it'll be easy. We thought and thought.
<TR>And</TR> we even looked into a cookbook. We got it.

We will wake up early on Saturday morning.
<TR>Then</TR>, we will make a cake.
I hope my mom will be happy.",::,4,::,3,::,1,::,4,::,Details in entry have potential but need more depth. Self-reflection is absent until the very end.,//
"333&<EV>These days, it's raining all day.</EV>
<TR>So</TR> after lunch, I can't jump rope outside. Luckily, I can jump rope in the gym.
<TR>But</TR> still... I want to jump rope in the sun. ""I don't like rain!""
I said this to my friend.
My friend said ""I like rain because usually summer is very very hot. But if it's raining
it will cool us off. Rain does not just cool us off. You can try your new umbrella.
<TR>And</TR> rain is god for trees and flowers.
I thought about it for a while. Oh well, rain is not bad at all.
<CO>Rain is helpful.</CO>",::,3,::,4,::,1,::,3,::,Details get better with progression and self-reflection is very strong.,//
"334&<EV>Soon, I have a test. A big test. <TR>So</TR> I have to study a lot.</EV>
I bought a big book to study for test. I'm very worried because I'm not good at math and English. In second grade, I was perfect in tests.

<TR>But</TR> now I'm a fourth grader and the study is harder than it was in second grade.
<SR>I will study really hard. I swear!! I will be a good student too.</SR>
Good luck every one!",::,3,::,3,::,1,::,3,::,Details are lacking and don't describe the event very well. Self-reflection is positive at the end.,//
"335&<EV>My older sister has a big project.</EV>
Usually, most older sisters go on diet. Well...she does.
<TR>So</TR>, my sister (her Einglish name is Demi)has a Big project to go on diet.
Project one, she has to swim every day.
Project two, she has to eat little.
Project three, she has to drink water as much as possible.
I hope my sister doesn't fail.",::,3,::,3,::,1,::,3,::,Writer gives decent details about the event but fails to wrap them up in a conclusion.,//
"336&<EV>At school we had an English Festival.</EV> 
We sang a song, and we played a password game and lots of other fun activities. The making of our own music videos was the most fun out of all the activities. 

<TR>First</TR> we heard music. The song was ""Lemon Tree."" 
<TR>Then</TR> we each had a piece of paper. <TR>And</TR> we each chose a line from the song. <TR>Then</TR> we drew pictures according to lyrics.
<TR>Then</TR> the teacher takes a photo of it and sends it to our computer. Yah!!
<CO>The English Festival is fun!</CO>",::,4,::,3,::,1,::,4,::,Details given adequately explain part of the event but not the event in whole. Self-reflection is only given at the end.,//
"337&<EV>Today, we cleaned our classroom.</EV>
<TR>First</TR> we opened the window to let fresh air in.

We dusted the floor and we scrubbed it.
<TR>Then</TR> we matched the table.

Ow! That was really hard work.
<TR>But</TR> our classroom was shining like a star.

I don't like cleaning but I want our classroom to be clean.

<CO>This is hard work but it's a little fun too.</CO>",::,3,::,4,::,1,::,2,::,Entry is short but the event is described with germane details. Self-reflection is also appropriately placed throughout the entry.,//
"338&<EV>After lunch, our class had jump rope time.</EV>
<TR>And</TR> we shared jump rope rhymes, such as little kid, little kid (꼬마야, 꼬마야).

It goes something like this, ""Jiwon, Jiwon touch the ground. Jiwon, Jiwon turn around. Jiwon, Jiwon say 'Hurrah.'
Jiwon, Jiwon that will do.""

This is pretty short. <TR>But</TR> it's very fun!
<CO>Jump roping makes our bodies healthy.
<TR>And</TR> makes our mind healthy too.</CO>

<SR>I will do jump rope every day.</SR>",::,4,::,3,::,1,::,3,::,Entry has descriptive details depicting the event. Self-reflection is lacking and needs to be stronger.,//
"339&Oh, no... I'm very busy now.

<TR>Because</TR>, soon there is a contest. I have to read twenty books.
<TR>And</TR> this book is no fun.
<TR>But</TR> some of the other books are ok.

Right now, I'm reading ""A Trip Of 101 Days To Art History Without A Map.""

I said to my mom, ""Mom, this reading contest is hard and boring!""
<TR>But</TR> my mom said to me,""Have patience.Then it will be fun.""

<TR>So</TR> I read a book with patience.
She was right. It was fun.

I will read books everyday!",::,3,::,3,::,3,::,4,::,Details have potential but more depth is needed to fully describe the event. Self-reflection feels disingenuine.,//
"340&<EV>Today, our class went on a field trip. We went to Palgong (팔공) mountain.</EV>

<TR>First</TR> we went to the Dodongchuja forest.

There were many trees. It was very cool!

Next, we went up a mountain.There were a cliff. My friend almost fell.
<TR>Then</TR> we went to the Bangjjayooki (방짜유기) museum. We ate our lunch there. 

We also played treasure hunt. It was fun but I didn't find any treasure.

<TR>But</TR> it's ok! On the bus, I felt great.",::,3,::,4,::,1,::,3,::,Details are decent but could be more visual to describe the time and place of the event. Self-reflection is nicely placed throughout the entry.,//
"341&<EV>For my birthday, my dad gave me a new Lego toy.</EV> 
It was the Lego friends horseback riding camp set.
Dad says this Lego set is very expensive.
<TR>So</TR> I made it everyday when I had time. Now... I'm finished!!
Wow. It was very hard to make everything because the tiny pieces of Lego were hard to find.
<TR>And</TR> sometimes, it took too much time to finish making something. 
I wanted to give up. <TR>But</TR> I remembered what my dad said about the Lego set being expensive. 
<TR>So</TR>. now I finished, and it looks great!
I took a picture of it with my camera.
Well, I don't think that Legos are for babies.
I had the patience to finish the Lego friends horseback riding camp set.",::,4,::,4,::,1,::,3,::,Details are strong in parts but not consistent throughout the entry. Self-reflection is appropriate.,//
"342&My sister is very kind to me.
<TR>First</TR>, her name is Kim Minji and her English name is Anne.
She likes dancing, books and food...
Most of all she loves movies. <TR>And</TR> I like what she likes too!
Anne is good at studying English.
She is kind like an angel. 
She also likes to teach me.
I want to say this to her, ""I love you!""",::,4,::,3,::,2,::,2,::,Entry is very descriptive but lacks self-reflection.,//
"343&""My corn is growing!"" I shout it because I saw my corn.
Two little sprouts were poking out their heads.
I didn't think they were there before. It was very cute. My new kidney beans aren't growing now.
Before this, I wasn't good at growing plants.
Next Monday, I will take my corn to school.
I hope my kidney beans will grow too.
Good luck!^^",::,3,::,3,::,1,::,4,::,Details show potential but aren't very deep. Self-reflection adresses writer's thoughts.,//
"344&<EV>Yesterday, our class had kidney beans and corn. I mean seeds.</EV>
I put a seed in a bottle. <TR>But</TR> the soil was too wet and was like mud.
I don't think my seeds will grow very well.
<TR>So</TR> my mom and I will buy some more soil.
<SR>I will have to take good care of our plants.</SR> I am going to study plants.",::,3,::,4,::,1,::,2,::,Entry jumps around a bit and makes it hard to follow the event. There is also very little self-reflection.,//
"345&<EV>I read another book. It is called, ""If You Give a Pig a Party.""</EV>
The story goes like this, ""If you give a pig a party, she's going to ask for some balloons.
When you give her the balloons, she'll want to decorate the house.
When she's finished with that, she'll put on her favorite dress..."" The story goes on like this.
<EV>And</EV> on the last page, the book says, ""Then she's going to ask you for a party.""
I chose this book because the first sentence and the last seentece were fun.
If I was that girl, I would have fainted. Oh, no, it woul have been so angry.",::,4,::,3,::,1,::,3,::,Details start strong but grow weak in the middle. Details finish strong. Self-reflection is appropriately expressed.,//
"346&<EV>Today, I read a book called ""The Tale of Peter Rabbit.""</EV>
It is about four little rabbits.This book is very small but long.
Well, the rabbits' names are Flopsy, Mopsy, Cotton-tail and Peter.
<TR>And</TR> they lived with their mother in a sand bank, underneath the root of a very big fir tree. One day, their mother said to the four bunnies, ""Don't go in to Mr. McGregor's garden.""
Flopsy, Mopsy, and Cotton-tail didn't. <TR>But</TR> Peter, who was very naughty ran to Mr.Mcgregor's
garden. Peter ate beans and lettuces. Suddenly Mr. Mcgregor found Peter and started to chase him!
<TR>So</TR> Peter ran and ran. Soon, Peter arrived in his warm, nice home. Poor Peter,
I thought. Being curious is good and fun.
<CO><TR>But</TR> too much curiosity can be dangerous.</CO>",::,4,::,3,::,1,::,3,::,Entry is very descriptive and describes the story well. Self-reflection is smoothly expressed at the end.,//
"347&Spring is coming! The flowers are blooming. New sprouts are coming out of the ground.
I love spring because it smells good and beautiful.
<TR>Before</TR> spring came, I didn't know that spring was so great.
Some peopie said, ""I don't like spring!""
I can't get into spring. My favorite season is autumn.


(Sorry, it's very short because of time.)

",::,3,::,2,::,1,::,2,::,Entry is disorganized and details are cut short. Self-reflection is strong in the beginning but soon dies.,//
"348&<EV>We have a new computer.</EV> It's big and fast.
Actually, it is somebody else's. <TR>But</TR> I don't care.
<TR>Because</TR> it's perfect.
This morning, a man came to our house.
He set up the internet for us.
In the afternoon, we watched Secret Garden on Little Fox.
It was very comfortable.",::,3,::,3,::,1,::,2,::,Details feel imcomplete to the reader. Self-reflection is also absent.,//
"349&<EV>Today, I met new friends.</EV> One is named Bomi and other is named Sumin.
Both of them are very kind and good. I'm so happy.
At first, I didn't think that I could make new friends at all. <TR>But</TR> it is easy.
Bomi is kind of innocent. Sumin is smart and good. I like this these types of people.
I will be a good friend to them, or somebody else who does not have any friends.
Well, I hope you will be a good friend too!",::,3,::,4,::,3,::,3,::,"Details are genuine and sincere, but self-refelction needs to be a little stronger.",//
"350&<EV>Everything is new: teacher, friends, classroom!</EV>
I don't have any friends in fourth grade, but I'm so happy. My teacher is a little scary.
<TR>But</TR> I love my teacher. I will study hard.
<TR>And</TR> I want to make new friends. Not now I guess, but when we get to know each other.
<SR>My life will change. I need to work hard.</SR>Why?
<TR>Because</TR> I am a fourth grader!",::,3,::,3,::,3,::,3,::,Details have potential but are not very deep in describing the event. Self-reflection is strong.,//
