essay,,,,I/B/C,,Thesis,,Topic,,Coherence,,Transition,,Main Idea,,Supporting Idea,,Style,,Usage,,Critique,//
"616&For success in a future job, the ability to relate well to people is more important than studying hard in school.",::,"<IN><TS>When I worked for Kookmin bank in Korea as an intern, I heard that the ability to get along with people is more important than studying. I could not understand the meaning of this statement at that time. <TR>However</TR>, now I can understand what it means, because I got to realize the system of the capital society and the company. <TR>That means</TR> the ability to get along with people brings more profits to the company and the power of a boss that affects on the promotion are important to success in a future job.</TS></IN>
 
<BO1><MI1><TR>To begin with</TR>, the ability to relate well to people can bring more profits to the company.</MI1> <SI1>Today’s society is called the capitalism. <TR>In this society</TR>, the corporation is one of the major factors, and to success, it is important to do well in the corporation. <TR>Further</TR>, to do well in the company, people should make as many profits as possible to the company. <TR>Therefore</TR>, it is important to get along with people, because good relationship brings more profits. <TR>To be specific</TR>, the company should make profits from their customers. <TR>Thus</TR>, employees of the company should make good relationship with customers, so that they can buy more products from the company.</SI1></BO1>
 
<BO2><MI2><TR>Second</TR>, since a boss has an authority to promote, it is important to have the ability to relate well to people.</MI2> <SI2>There are classes in the company. <TR>It means</TR> the higher the class is, the more power he or she has. <TR>Therefore</TR>, it is important to make good relationship with a boss – who usually in high class, so has more power. Considering that they have an authority to promote his or her staff, making good relationship with a boss is never a trifling factor. <EX><TR>Actually</TR>, one study has shown that employees who spend their time with their boss more often have 30% more possibility to promote than others who don’t.</EX></SI2></BO2>
 
<CO><TR>In conclusion</TR>, <TR>it is not an exaggeration to say</TR> this society is ruled by companies, <TR>therefore</TR> doing well in the company is the way to success. Since the ability to make good relationship with people – whether it is customers or bosses – is closely associated with the succeed in the company and promotion, it is very important to relate well to people.</CO>",::,3,::,3,::,4,::,4,::,3,::,4,::,2,::,1,::,0,::,"The essay starts out alright, with a clear argument in a thesis that could be a more concise, and that could use a little more clarity on one of its introduced supports. The essay suffers from a lack of variety in sentence structure, and from some very strange wording and phrasing at some points.",//
"617&Today, young people do not help their community.",::,"<IN>There has been heated debate whether young generations are helping with their community or not. Some people assert that youth are playing pivotal role for their residents and community while others deem otherwise. <TS><TR>Still</TR> <TR>I believe that</TR> young people are not doing much for their community they are in. This is not only because they are busy with their career but also because they have become so individualistic to care about the society they belong. <TR>So from my point of view</TR>, I am in agreement with the former stand.</TS></IN>  
    
<BO1><MI1><TR>The first reason for my opinion is that</TR> youth are too busy to give support.</MI1> <SI1>In this heavily competitive world, not only finding job is tough but working day to night is tiresome as well. Especially ever since the global economic crisis in 2008, numerous people have lost job or are in danger of being dismissed from the occupation. <TR>This means</TR> they have to put a lot of effort to show more than what they can do. <EX><TR>To be more specific</TR>, my older sister who has started her job last year is worried that her company might fire her. As the economic is still flagging her company is planning to cut down the numbers of employees who doesn’t seem to be helpful. Such situation makes her to solely concentrate on the work and at home she is knocked down .She cannot spare any moment for anything else.</EX> <TR>In this manner</TR>, youth cannot afford the time for their community.</SI1></BO1>
   
<BO2><MI2><TR>Another reason for my argument is that</TR> young people do not think it is essential to aid the community.</MI2> <SI2>Though it might be common courteous for everyone in the town to work together when they face any of issue, not everyone, especially young people do not much care. With the advent of modern technology like internet and IT invention,  it enabled young people to spend time alone. Such phenomenon leads teenagers and university  to care less about their community. <EX><TR>For instance</TR>, <TR>according to the study done by Harvard University</TR>, teenagers age from 10 to 18 tend to less participate snow removing work than the people from age 40 to 50. The study concludes that older people feel more affection toward the community while younger generation don’t.</EX> This example illustrates why young people do not care about the community</BO2>
   
<CO><TR>Subsequent to mulling over this query</TR>, I support the statement above. Youth cannot spare time for their community as they are busy keeping up with their career. <TR>Also</TR> many of young people have come so individual that they do not recognize the essence in helping the community. <TR>To conclude</TR> there is no doubt that young people do not give hand for their community</CO>",::,4,::,4,::,5,::,4,::,4,::,4,::,3,::,3,::,0,::,"This student makes a strong argument, which they back up with good examples and evidence.",//
618&Nowadays it’s easier to maintain health than the past,::,"<IN><TR>it is evident that</TR> in our currently society, health is tremendous important in our lives. Some people think that in the past, it was easier to maintain health than the present, while others do not. <TS><TR>Contrary to popular belief</TR>, <TR>I believe that</TR> nowadays it’s easier to maintain health than the past for two reasons. <TR>First</TR>, it is efficient. <TR>Also</TR>, people can relieve their stress easily.</TS></IN>

<BO1><MI1><TR>First</TR>, people can stay healthy efficiently.</MI1> <SI1><TR>This is due to the fact that</TR> <TR>these days</TR>, many technologies for healthy life are being improved gradually. <TR>Unlike the past</TR>, people do not further effort to maintain health. <EX><TR>Take my father, for example.</TR> When he was a college student, it took over 1 week to maintain health because he had no choice but to exercise. <TR>These days</TR>, it only took 5 minutes for him to maintain health because he ate a special nutrient food, such as vitamin pills. <TR>Thus</TR>, he was able to improve his health faster than before.</EX> <TR>This experience shows that</TR> nowadays, it is easier to maintain health than the past because people can deal with their health efficiently by using many technologies developed by them.</SI1></BO1>  

<BO2><MI2><TR>Second</TR>, people nowadays maintain their health by doing many leisure activities.</MI2> <SI2><TR>In the past</TR>, people were not aware of importance of stress. <TR>In commonly society</TR>, people think that stress is a main factor in the disease, through weakening the immune system, making a lot of leisure activities to cope with their stress. <EX><TR>Take my uncle, for example.</TR> When he was fifth grade, he received a lot of stress from his study. <TR>As a result</TR>, he had to take 2 weeks off because he and a stomach ulcer because he did not know what he did not for his health. <TR>Nowadays</TR>, he is maintaining his health because he does not get a lot of stress by doing leisure sport and hiking. <TR>Thus</TR>, this experience shows that nowadays it is easier to maintain health than the past because people can cope with their stress easily through many recreational activities.</EX></SI2></BO2>

 ",::,1,::,3,::,3,::,3,::,3,::,3,::,3,::,2,::,0,::,"I understand what the thesis is trying to say, but it's worded very awkwardly, in a way that may be confusing to some. Also, there is a lack in sentence structure variation.",//
619&young people today are more likely to give time and effort to improve the world than young people were in the past.,::,"<IN><TR>Nowadays</TR>, trying to improve the world is tremendous important in our lives. Some people think that in the past, young people was more likely to give time and effort to improve the world than young people who are in the present, while others do not. <TS><TR>Contrary to popular belief</TR>, <TR>I believe that</TR> young people today are more likely to give time and effort to improve the world that young people were in the past. <TR>First</TR>, young people nowadays are exposed to globalization, young people want to be successful.</TS></IN>

<BO1><MI1><TR>First</TR>, young people nowadays are exposed to globalization.</MI1> <SI1><TR>This is due to the fact that</TR> our modern society is becoming globalized through surprisingly development of technologies. <TR>Thus</TR>, young people today are more likely to spend time to improve the world because they are contacting with globalization and have diverse opinions about the world, unlike the past. <EX><TR>Take my father, for example.</TR> When he was a young child, my father did not know about other country because there was not the internet. <TR>On the other hand</TR>, I was raised awareness of global problems, such as global warming and pollution after he used the internet by using the internet. <TR>Through the internet</TR>, I had concerns about the world issues naturally and effort to improve the world by joining in global environmental organization. <TR>Thus</TR>, this experience shows that young people today are more likely to give time and effort to improve the world than young people were in the past.</BO1>  

<BO2></MI2><TR>Second</TR>, <TR>these days<TR>, young people want to be successful.</MI2> <SI2><TR>This is due to the fact that</TR> many companies nowadays prefer people who have a lot of relationship. <TR>Therefore</TR>, young people today are more give time and effort to improve the world because they can meet many diverse people by doing many activities to improve the world. <EX><TR>Take Dr.Ahn, For example.</TR> I read online that Dr.Ahn, the former CEO of Ahn Lab Company transformed his company one of the most profitable Information Technology enterprises because he was concerned about the world. During one of his interview he said that he was able to do this because he already concentrated on world’s relationship and did many activities in the United Nations. This helped him make a broaden relationship with other countries’ people.</EX> <TR>This interview shows that</TR> young people today are more likely to give time and effort to improve the world than young people were in the past because young people nowadays want to become more successful.</BO2>",::,2,::,3,::,3,::,3,::,2,::,3,::,4,::,4,::,0,::,This student has strong vocabulary and grammar.,//
620&Professors should focus on research more than teaching student.,::," <IN>Different people have different opinions about the statement that professors should be more concentrated on the research than teaching students. <TS><TR>I strongly believe</TR> the statement above is untrue this is because professors have a duty for students to learn more and students are deserve to request the higher quality lecture because they paid for it.</TS></IN>
                  
<BO1><MI1><TR>First of all</TR>, the most important role of the university is growing intellectual students and makes them erect their own view to the around the world. <TR>For that reason</TR>, professors should do their best in teaching students with sincerity.</MI1> <SI1><TR>Especially</TR>, with the state-of-the-art gadgets in the lecture, professors can convey their notion or conception to the student easily and effectively. Using smartphone, internet and email, they are able to contact with students more closely than ever before.  <EX><TR>For example</TR>, I joined the class in which the professor mainly uses the smartphone on the lecture. He turned on the computer and projector in a classroom and used his own smartphone and linked them through the Bluetooth. The class was about the history of economics, he projected a sort of graphs and data immediately and quoted many images whenever the students had a hard time to understand the topic. So we are easily figured out the various concept of the economics and felt the class is more enjoyable.</EX></SI1></BO1>
                   
<BO2><MI2><TR>On top of that</TR>, students are same as customers and they are eligible to require certain quality of the lecture.</MI2> <SI2><TR>As we know</TR>, tuition fee is not much low and lecture quality is the most considerable part of choosing the class for students.  <EX><TR>For instance</TR>, one survey conducted by a Korean National Institution for Education has shown that 63% of the university students response they are not satisfied with their lectures. <TR>It strongly represents that</TR> universities and professors are not providing proper education to their students. <TR>That is</TR>, the ‘companies’ are not meeting the demand of customers. It’s not fair.</EX> <EX>A survey also represent that when students required to choose the question that the most dissatisfying thing in the lecture, they response the old-fashioned material in the class. Not all the classes, but some of that still use outdated case, examples, uncorrected material. These things disappointed the students and they, <TR>as I mentioned above</TR>, have right to request the higher quality of the class context.</EX></SI2></BO2>
                   
<CO><TR>Overall</TR>, professors should try to sharpen the lecture ability because it enables students to accept more knowledge and students is eligible to receive education quality that they want to. <TR>In this sense</TR>, <TR>I strongly agree with the notion that</TR> teaching staffs on the university should focus on teaching students than the research.</CO>",::,,::,4,::,2,::,3,::,3,::,3,::,4,::,4,::,0,::,"The thesis statement reads like an awkwardly-phrased run-on, but the argument that the student is making is good. However, they don't connect it well with the topic when they go on to the body paragraphs, simply aruging for better education for students as opposed to arguing what the prompt wants, which is better education for students as opposed to more reasearch time for professors.",//
621&people should sometimes do things that they do not enjoy doing.,::,"<IN>There are some people who maintain that there is something which people do not want to do but should do. <TR>However</TR>, others disagree with that idea. <TS><TR>In my opinion</TR>, <TR>I agree that</TR> people have to do something which they do not enjoy because it can be a way to be familiar with another people, especially group members and avail to one's future.</TS></IN>
 
<BO1><MI1><TR>First of all</TR>, people can make intimate relationships with other people by doing something although they hate to do.</MI1> <SI1>It maybe a irritate to do that but by doing this people make more unified and intimate relationships. <EX><TR>For instance</TR>, when I was in middle school, I had to practice dancing with my classmates for school festival. I really hated to dance in front of lots of audiences but I had to. <TR>However</TR>, <TR>after the festival</TR>, I could be familiar with my classmates more because we together did something although I hate to do.</EX></SI1></BO1>
 
<BO2><MI2><TR>In addition</TR>, acting something although do not enjoy to act can be a good resource for one's future.</MI2> <SI2>There are somethings hated to do but are helpful in one's lives such as studying, <TR>For example</TR>, there are little students who really enjoy to study. <TR>Rather</TR>, most of them enjoy playing. <TR>However</TR>, studying is surely a good method to achieve one's future goals and careers. <EX><TR>Also</TR>, I hated to exercise when I was young. I just hoped to watch TVs. <TR>However</TR>, I had to exercise regularly because of my father. <TR>Now</TR>, I thank to my father because I can keep my health through exercising from young to so far.</EX></SI2></BO2>
 
<CO><TR>To sum up</TR>, <TR>I strongly assert that</TR> people should do what they hate to do because it can be a useful way to build up warm relationships with others and a valuable resource to one's future.</CO>",::,3,::,3,::,5,::,3,::,3,::,3,::,3,::,2,::,0,::,"The student does a good job at really focusing on the topic, but their sentences are really unvaried, and they misuse a lot of vocabulary words and grammatical structures.",//
622&Governments should spend more money to make the Internet more easily accessible than to improve public transportation.,::,"<IN><TS><TR>I think</TR> the government should spend more money to improve public transportation for several reasons : the use of public transportation is now a serious problem and to save the earth.</TS></IN>

<BO1><MI1><TR>First of all</TR>,  the government should pay attention to the use of public transportation because it is a serious problem these days.</MI1> <SI1>The  number of people are greatly increasing day by day. There are more and more cars and other transportations on the road. So people are trying to take more public transportation than to take their own vehicles. <TR>However</TR>, as people usually take the transportation on their way to work and home, there are certain period of time that people move from place to place. <EX><TR>For example</TR>, my father uses public transportation when he goes to work and come back. But he always complains that there are too many people using that transportation, numbers of the vehicles limited, moreover the periods when they take the transportation are all similar and it causes a big trouble. To solve all these problem, the government should introduce a new policy or a solution. Probably by spending more money on increasing the number of vehicles for the public.</EX></SI1></BO1>

<BO2><MI2><TR>In addition</TR>, the government also should encourage people to take the public transportation to save the earth.</MI2> <SI2>Global warming is getting serious and most of people know that there is a need to take public transportation instead of their own, <TR>however</TR>, it would not be easy to take actions when you already have your own. <EX><TR>To be specific</TR> my homeroom teacher in my school knows that she has to take public transportation to reduce carbon dioxide produced, but it is not easy for her as she is now living in a country side and there are not many public bus and she has to come school in time. <TR>Therefore</TR>, the government should spend more money to this problem.</EX> To advertise and encourage the people to take public transportation more, and also to provide bus to the country side people so that they will not take their own vehicles individually, resulting in producing more carbon dioxide.</SI2></BO2>

<CO><TR>In brief</TR>, because the use of Internet is already easily accessible and the problem of the use of public transportation is more serious the government should encourage people to use public transportation more also to reduce the amount of carbon dioxide, after increasing the number of public transportation.</CO>",::,4,::,4,::,5,::,4,::,4,::,3,::,4,::,3,::,0,::,"The thesis statement would have been nearly perfect if the student had elaborated more on why ""the use of public transportation is now a serious problem."" A problem that I see in this essay is a large number of run-on sentences.",//
"623&Being creative, rather than planning carefully, often results in the best solution.",::,"<IN>In the today's globalized society, it is widely believed that being creative, instead of planning carefully, often leads to the best solution. Some people advocate that planning carefully prevents people from broadening their perspectives. <TS><TR>However</TR>, I disagree with this point. For the following two reasons, I firmly believe that planning carefully is a better way to solve the problems than being creative: to improve a sense of responsibility and to promote work efficiency.</TS></IN>
 
<BO1><MI1><TR>To begin with</TR>, planning carefully encourages people to improve a sense of responsibility.</MI1> <SI1><TR>This is due to the fact that</TR> planning requires many obligations, such as managning their schedules widely, abiding by rules, cooperating with other members. Through the consequences arising from negligent actions, people can learn the importance of obligation. <EX><TR>For example</TR>, my youngest brother ,who was the present of a sport club in his college, used to be lazy and sefish. He has changes little by little after he started to plan his time carefully. He realized that his laziness could negatively affect everyone by dalaying every step to achieve victory. <TR>Nuturally</TR>, he became more puncual, made a good suggestion and encouraged other members who had a hard time. <TR>Thus</TR>, this shows that planning carefully enables people to improve a sense of responsibility, which leads to a good suggestion.</EX></SI1></BO1>
 
<BO2><MI2><TR>Furthermoe</TR>, managing own time carefully allows people to perform with more enthusiasm.</MI2> <SI2><TR>This is attributed to the fact that</TR> having careful plan help people feel confidence because they don't feel fear. Having confidence can serve as  one of the key motivators for them to perform better and to improve themselves. With such motivation, they can put in theif effort, concentrate better on their tasks, and feel more responsible for their work. <EX><TR>For instance</TR>, <TR>according to a study done by the New York Times in 2010</TR>, it revealed that there was two groups of employees in achievement. Employees in Group A planed their time carefully and those in Gruo B behaved freely. <TR>The study indicated that</TR> the former group spent more hours working by 50 percent and performed higher than the latter group. <TR>Moreover</TR>, workers in Group A followed instructions, participated actively in group meetings, and made good suggestions. <TR>On the other hand</TR>, those in Group B lazed off in work and lacked focus on group meetings. <TR>Thus</TR>, planing carefully encourages people to bring about good ideas.</EX></SI2></BO2>
 
<CO><TR>All things considered</TR>, it is my belief that my argument regarding this topic have been precisely and effectively delivered with reasons mentioned above. Never should we forget that this issue can have a huge impact on the future.</CO>",::,3,::,4,::,4,::,4,::,4,::,5,::,4,::,4,::,0,::,This is a strong essay overall. The student uses good examples to support his/her argument.,//
"624&The purpose of television should be educational, not entertaining.",::,"<IN>When I read the newspaper, I found the article which addressed the number of the viewers, who watch the entertaining television programs, are much more than those who watch the educational program. This article makes me think what the purpose of television is whether entertainment or educational. As the entertaining programs have bombard, people usually prefer to get excitement and joy. <TS><TR>However</TR>, <TR>I think</TR> the television should be educational for following reasons. <TR>First</TR>, educational program can enhance the knowledge and insight of the people. <TR>Second</TR>, educational broadcasting can develop the effects of the education as people might use the senses of hearing and sight, during watching television.</TS></IN>
 
<BO1><MI1><TR>First</TR>, educational programs via public broadcasting will make people high standard, being exposed by the diverse information.</MI1> <EX><TR>According to the survey of Korea Broadcasting System</TR>, 70% of respondents said that they have got diverse knowledge, what they have never known before, during they watched educational programs. And also they mentioned that they have felt full of satisfaction after assimilated the information via television.</EX> <TR>Besides</TR>, as watching more and more educational programs, people's standard will has been enhanced afterward. <TR>Without a doubt</TR>, this phenomenon will be contributed to the economic growth and country development.</SI1></BO1>

 
<BO2><MI2><TR>Second</TR>, as television provides the information with sight and sound, people are able to be facilitated developing their study. <TR>Furthermore</TR>, the television is most accessible media as all the families, nowadays, have the television.</MI2> <SI2>For students, it is good way to study, who normally study independent after came back from the school. <EX><TR>According to the research of the Seoul National University</TR>, it is more effective to study with using all the sense rather than using only one of them. They also mention television is best media to provide the diverse knowledge for student because of its popularity.</EX> <TR>Besides</TR>, <TR>it is no doubt that</TR> the television only shows entertainment factors will disrupt the study. <TR>In line with this thinking</TR>, television programs should be educational for people as well as students.</SI2></BO2>
 
<CO><TR>In conclusion</TR>, <TR>I think</TR>, the purpose of the television will be changed educationally. <TR>First</TR>, by providing educational information and broaden knowledge, the standard of people become highly. It is being the great asset for the country. <TR>Second</TR>, because of the most houses have televisions, it contributes the effective study, especially for students, as providing information with sound and sight with the great accessibility.</CO>",::,4,::,5,::,5,::,4,::,4,::,4,::,5,::,3,::,0,::,"This student has written a strong essay, starting with a good, specific thesis statement. There are some grammatical errors, but the student sticks close to the topic and uses very strong examples as support for his/her argument.",//
625&It is important for the government to protect wild animals and wilderness places for the future generation.,::,"<IN><TS><TR>I totally agree with the idea that</TR> goverment should protect wild creatures and their habitats. <TR>That is because</TR> the speed of wild lives destruction is now proceeded very fast. <TR>Also</TR>, many wild lives are getting extinct . Since most of causes are human activities, I think goverment can preserve wild lives by controling human activities</TS></IN>
 
 <BO1><MI1><TR>To begin with</TR>, desertification is progressed at a fast speed.</MI1> <SI1><TR>Usually</TR>, desertification is caused by human activities, and these activities are somewhat prohibited by restrictions made by goverment. <EX><TR>In Africa</TR>, many people cut trees and plants because of their hunger. <TR>However</TR>, since these greenery plants have positive effects to provide wild plants and animals with appropriate environment to live, the devastation of the habitat for the nature deprive of the wild lives.</EX> If goverment keep people from destroying the nature by the law, various creatures in the wild may be able to exist. <EX><TR>For example</TR>, the Keynan goverment prevented people from cutting trees without the permission from goverment. With this persistent endeavor over 10 -year period, the speed of desertification became slower, and some species of birds increased their number.</EX></SI1></BO1>
 
<BO2><MI2><TR>On top of that</TR>, many creatures in the wild are being extinct.</MI2> <SI2>Many people hunt wild animals for the purpose of money. <EX><TR>For example</TR>, <TR>in Korea</TR>, <TR>in the past</TR>, some people hunt bears and wild boars to sell in the underground market. <TR>As a result of this</TR>, the numbers of these animals are rapidly declined. <TR>Thus</TR>, the Korean goverment stipulated these indicreet hunt illegal, and levied a heavy fines for the hunters. <TR>Fortunately</TR>, this effort was proved effective, the number of wild animals started to increased again.</EX> <TR>I think</TR> this shows the efficiency of govermental efforts.</SI2></BO2>
 
<CO><TR>By way of concluion</TR>, <TR>based on the arguments above</TR>, <TR>I am of the opinion that</TR> wild lives are protected by the govermental efforts. The goverment can prevent the trees and plants from being deserts where wild lives can not live any more. <TR>In addition</TR>, the extinction of plants and animals can be decreased somewhat by the human effort. <TR>I believe</TR> these efforts can bring change into the habitat of wild lives. <TR>By doing these</TR>, people can transmit our wild lives as a precious heritage of our mother nature to our offsprings.</CO>

",::,4,::,4,::,5,::,4,::,4,::,4,::,5,::,4,::,0,::,"This student shows a strong command of English vocabulary and grammar, with just a few issues. Their argument is very well supported.",//
"626&Some people think it is more efficient to go to school and take the class. Conversely, others think it is more effective to have home schooling.What is your opinion?",::,"<IN>Some people think home schooling is better than taking lectures in the campus. <TR>This is because</TR> it will save their time. <TS><TR>In contrast</TR>, <TR>I contend that</TR> having class in the school is better than doing home schooling.</TS></IN>

<BO1><MI1><TR>First of all</TR>, School is not just a place where we get the information and learning. It is a sort of society.</MI1> <SI1>Students learn how to join with other people and social skills: sharing opinion, solving problem with friends, and how to cooperate with others. <TR>For an example</TR>, if there are two students, one took the lessons by going school directly and the other one took the lesson indirectly through home schooling. Which one do you think can adapt to the society easily? Maybe the first one will be able to adjust the society faster than the second one. <TR>In my opinion</TR>, school is a place where making us to be prepared before getting in to the society. <TR>This means that</TR> you lose chance to prepare to be a part of community when you take home schooling instead of going school.</SI1></BO1>

<BO2><MI2><TR>On the top of that</TR>, <TR>I think</TR> there is a limitation for students to learn the subjects.</MI2> Most of students will be taught under one teacher to learn diverse subjects. It is impossible for one teacher to know about every academic subjects. <TR>Therefore</TR>, the students will learn only the surface of each subject, not the academic depth.</BO2>

<CO><TR>To sum up</TR>, It is important to young students to experience people and society. <TR>For above reasons</TR>, <TR>in my opinion</TR>, taking lectures in the school is more effective to students than having home schooling.",::,3,::,2,::,3,::,2,::,3,::,3,::,1,::,3,::,0,::,"The student makes errors with simple things like using infinitives, and with (over)use of articles. Also, the student gives no real supports for his/her arguments.",//
627&what is something that you would like to study in school?,::,"<IN>The world is becoming more and more globalized, and last few decades, there's been a significant awareness as to the importance of international language. While many still are being adamant on their thoughts that keeping regional language is more important, we can't deny the fact that the international language is becoming more of a matter of must rather a choice. <TS><TR>Likewise</TR>, <TR>given choice</TR>, I would personally like to study English in school and my reasons are economical, educational, and social.</TS></IN>

 <BO1><MI1><TR>To start with</TR>, one of the great advantages that comes along with learning English is that a person  gets to have better opportunity to be successful in the society.</MI1> <SI1><TR>This is because</TR> the demand for a person being able to speak is increasing higher than ever before. <TR>Due to globalization</TR>, companies are bound to be connected with companies overseas. And this created a phenomenon called English obssession.
<EX><TR>For example</TR>, <TR>in my school years</TR>, I remember putting in as much as 5 hours a day just to get better score on English test called Toefl. And those who had failed to get wanted score felt devastated, while those who had managed to obtain high score might've been self-esteem.</EX> This is just one of many examples that show the significance of English in recent years.</SI1></BO1>

 <BO2><MI2><TR>On top of that</TR>, making friends with people from different parts of the world has been made possible as more and more people are now able to speak English.</MI2> <SI2><TR>In the past</TR>, even if one wanted to broaden his views and perspective by having relationship with those half way around the world, so called ""language barrier' kept them from making it happen. With a help of language that connects the world in the way not present in the past, it's not too far-fetched to say that there's no such thing as different languages anymore. <EX><TR>Last year</TR>, I went to France for the purpose of having a little getaway after a long period of hard-working, I was a little anxious at the fact that I didn't have any information regarding France, which includes where the good restaurants are. <TR>However</TR>, my worries proved me wrong, because everything could've been dealt with just by asking locals. <TR>And</TR> this might've been impossible without English skill.</EX></SI2></BO2>

 <BO3><MI3><TR>Moreover</TR>, English also provides us with threshold of great education.</MI3> <SI3>Since most of prominent schools like Ivy League require students to have score on English test like Toefl, it has become nearly unimaginable to attend those schools without solid English skill. Whether it be communication major or sports business management, the classes are all conducted in English, <TR>therefore</TR>,without English listening skill, attending the classes becomes no meaning in the very first place.</SI3></BO3>

<CO>Everyone might have a dream that they want to achieve in their lives. Some might want to be a renown scientist, and others would go to bed every night dreaming of becoming a rich business man. whatever their dream is, that we live in a society that puts a lot of emphasis on English language is something we can't ignore.</CO>",::,5,::,4,::,5,::,4,::,5,::,4,::,4,::,5,::,0,::,"It's clear that this student is a fairly advanced English speaker. While not perfect, his/her grammar and vocabulary choice is extremely skilled, and his/her argument is well thought out and supported.",//
628&It is important for the government to protect wild animals and wilderness places for the future generation.,::,"<IN>An intriguing topic of discussion at hand is whether or not it is important for the government to protect wild animals and wilderness places for the future generation. The answer to this question can greatly vary depending on the individual perspectives. <TS><TR>Thus</TR>, <TR>the jury may still be out</TR>, <TR>but as far as I am concerned</TR>, <TR>I firmly believe that</TR> governments should preserve wild animals and wilderness places for the future generation. <TR>In this essay</TR>, <TR>I will present two reasons supporting my standpoint as follows.</TR> <TR>First</TR>, by doing it, people release their stress level. <TR>Second</TR>, it helps them succeed in their life.</TS></IN>

           <BO1><MI1><TR>To begin with</TR>, visiting wilderness places significantly reduce one’s stress level.</MI1> <SI1><TR>This is attributed to the fact that</TR> watching wild animals and natures distracts one from worries and anxiety. <TR>Thus</TR>, this simple and quick escape from the reality may actually serve as a safety valve to let off some steam as well as a fun way to recharge energy. <EX><TR>For example</TR>, there had been a study conducted by the Seoul National University in Korea. The researchers surveyed a thousand people to see if governments have to protect their wild animals for the future generation. <TR>Of all</TR>, 78.1 percent of them stated that governments have to concentrate on preserving wildness places. <TR>This is because</TR> it helps their citizen relieve stress and settle down, as they are likely to forget their worries while watching wild animals and natures. <TR>Thus</TR>, governments have to spend their budget on protecting wilderness places because their citizen can stay healthy without stress.</EX></SI1></BO1>

            <BO2><MI2><TR>In addition</TR>, being educated about the importance of preservation of wilderness places from an early age has a direct correlated to success in life.</MI2> <SI2><TR>As the saying goes</TR>, “Old habits die hard.” <TR>This indicates that</TR> people cannot make sudden dramatic changes in life, such as controlling their desires and behaviors one morning. <EX><TR>According to an article</TR>, Alex Kim, the Sociology Professor at Harvard University in America claimed: “Modern students have to learn the importance of wildlife protection because it allows students to be successful in their life. <TR>It is obvious that</TR> students who have been taught about wildlife protection will be likely to consider their heritage valuable in comparison to those who have not. <TR>For this reason</TR>, they can have the ability to develop their heritage and create the newest values by doing it, which helps them being specialized job candidates.”</EX> <TR>Hence</TR>, wildlife protection by government is crucial for the future generation since it helps them to be successful in their life.</SI2></BO2>

           <CO><TR>In conclusion</TR>, I strongly argue for my standpoint on account of the two reasons mentioned above. <TR>Once again</TR>, <TR>although the verdict may still be out</TR>, <TR>I personally believe that</TR> two of my rationales are sufficiently convincing enough to represent to the viewpoint of a majority of people who are in favor of my claim.</CO>",::,4,::,3,::,5,::,4,::,4,::,5,::,5,::,5,::,0,::,"I find the introductory paragraph horrible, just a jumble of fluff with a little hint of argument thrown in out of necessity- and that argument itself is quite confusing until one reads the following paragraphs and gets a little clarification. Despite that, this student shows that (s)he has a strong grasp of English grammar and vocabulary.",//
629&Do you agree or disagree with the following statement? Parents are the best teachers. Use specific reasons and examples to support your answers.,::,"<IN>People’s thoughts about this statement can vary. <TS><TR>However</TR>, <TR>I agree with this statement that</TR> parents are the best teachers because parents spend more time with their children and parents are people who know their children the best.</TS></IN>
            
<BO1><MI1><TR>First of all</TR>, since parents spend more time with their children, children are easily influenced by their parents’ lifestyle.</MI1> <SI1><TR>In fact</TR>, children only spend six or seven hours a day at school and the
rest of time at home with their parents. <TR>In other words</TR>, children learn more from their parents’
daily routine such as how they talk each other, how they greet other people and how they eat etc. <EX><TR>One day</TR>, I watched a TV program about students who are accepted into Ivy League. A common habit they have was they love reading various books. They said that they used to spend time with their parents in the library and discuss issues from books what they read. Their parents also read a lot of books at home instead of watching TV so that children can be influenced by looking at
their parents’ lifestyle.</EX></SI1></BO1>
            
<BO2><MI2><TR>In addtion</TR>, parents are people who know their children best; <TR>therefore</TR>, they know how to motivate their children.</MI2> Parents know their children since they were born, while teachers have
many children to take care of in a class and children do not always have same teachers every
year. <SI2><TR>Therefore</TR>, parents know their children better about what their children’s strengths and
weaknesses are. <EX><TR>Best example is my mother.</TR> Since she knew that I am introverted until I feel
confident with something, she made me learn singing, playing the piano. I participated in various
competitions and recitals to perform in front of other people. <TR>When I look back</TR>, this experience
helped me be active and gain confidence in myself. </EX></SI2></BO2>
            
<BO3><MI3><TR>Finally</TR>, <TR>in my opinion</TR>, teachers are the best teachers for their children because the way of parents’ life can easily affect children’s lifestyle in daily life such as reading and exercising and
also, parents can encourage their children better since they know characteristics and personalities of their children very well.</MI3></BO3>  ",::,3,::,3,::,4,::,3,::,3,::,4,::,4,::,3,::,0,::,"This student's vocabulary and grammar are fine, but their thesis statement is quite weak and unconvincing.",//
